Comune,Longitudine,Latitudine
corteno golgi,10.24224115,46.16596898
corzano,10.00779086,45.4442463
darfo boario terme,10.18048381,45.88347362
dello,10.07977147,45.41654998
desenzano garda,10.5415883,45.46858257
edolo,10.33711194,46.1782314
erbusco,9.97324124,45.59951824
esine,10.25917638,45.92401953
fiesse,10.32170366,45.23334134
flero,10.17589208,45.48235605
gambara,10.29778932,45.25386029
gardone riviera,10.55799486,45.62009093
gardone val trompia,10.18222299,45.68909413
gargnano,10.65994462,45.68981041
gavardo,10.43467889,45.58673467
ghedi,10.27692536,45.40219778
gianico,10.1839733,45.86531336
gottolengo,10.27151767,45.29173169
gussago,10.15314832,45.59242495
idro,10.47401396,45.73701964
incudine,10.35819325,46.22211483
irma,10.28384537,45.77119698
iseo,10.05004398,45.65982928
isorella,10.31665753,45.3075627
lavenone,10.43796818,45.73901274
leno,10.21741867,45.36749972
limone sul garda,10.79290209,45.81333026
lodrino,10.27760199,45.71774346
lograto,10.0574385,45.48318568
lonato garda,10.48429285,45.46089172
longhena,10.05965597,45.43814089
losine,10.31750867,45.98358956
lozio,10.26089085,45.98563822
lumezzane,10.261756,45.65014976
maclodio,10.04178291,45.47674013
magasa,10.6164034,45.78147613
mairano,10.07630769,45.45020038
malegno,10.2724111,45.95070971
malonno,10.31478286,46.11866545
manerba garda,10.55142577,45.55009614
manerbio,10.13902184,45.35430213
marcheno,10.21419546,45.70599766
marmentino,10.28194328,45.75282746
marone,10.09156211,45.73709034
mazzano,10.35979044,45.50360347
milzano,10.20043867,45.27554151
moniga garda,10.53704308,45.53051675
monno,10.33803738,46.21261535
monte isola,10.07929693,45.71498601
monticelli brusati,10.09789844,45.63426021
montichiari,10.39528281,45.41224627
montirone,10.23111054,45.44377294
mura,10.34201401,45.71306707
muscoline,10.46032704,45.56438947
nave,10.2790453,45.58467547
niardo,10.33589978,45.97872723
nuvolento,10.38327962,45.54783467
nuvolera,10.37015909,45.53332556
odolo,10.38824584,45.64856079
offlaga,10.11630783,45.38652358
ome,10.12416033,45.62489528
ono san pietro,10.32924402,46.01645153
orzinuovi,9.92176686,45.4024979
orzivecchi,9.96045414,45.42088848
ospitaletto,10.07517023,45.55686172
ossimo,10.22847608,45.94575301
padenghe sul garda,10.508363,45.50945065
paderno franciacorta,10.07776175,45.5904088
paisco loveno,10.29275715,46.07887268
paitone,10.39994355,45.55300477
palazzolo sull oglio,9.88582148,45.59847763
paratico,9.95761989,45.66159516
paspardo,10.37106349,46.02986988
passirano,10.06402728,45.59815323
pavone mella,10.20804853,45.30332169
san paolo,10.02462174,45.37129663
pertica alta,10.34429218,45.74264899
pertica bassa,10.37304046,45.75333445
pezzaze,10.23921621,45.77493143
pian camuno,10.15748085,45.8437174
pisogne,10.10889801,45.80480282
polaveno,10.12424826,45.66119599
polpenazze garda,10.50463489,45.5471873
pompiano,9.9871549,45.43278121
poncarale,10.17396244,45.46051196
ponte legno,10.5114586,46.25647207
pontevico,10.08503009,45.27359729
pontoglio,9.85265228,45.57062305
pozzolengo,10.62709464,45.40285678
pralboino,10.21488169,45.26809429
preseglie,10.3929298,45.66534492
prevalle,10.42121638,45.54705532
provaglio d iseo,10.04214968,45.63777633
provaglio val sabbia,10.43392813,45.68857672
puegnago sul garda,10.50991136,45.57047242
quinzano d oglio,10.00872258,45.31368546
remedello,10.37196398,45.27889584
rezzato,10.31849233,45.51341274
roccafranca,9.9119846,45.46414262
rodengo saiano,10.10929589,45.6005875
roe volciano,10.49404,45.62400951
roncadelle,10.1513087,45.5280621
rovato,9.99763789,45.56808537
rudiano,9.88423225,45.4885185
sabbio chiese,10.41553263,45.65676279
sale marasino,10.11288737,45.71409232
salo,10.5323114,45.60713769
san felice benaco,10.55377221,45.58275139
san gervasio bresciano,10.14967036,45.30601971
san zeno naviglio,10.21455357,45.4913425
sarezzo,10.20297691,45.65378299
saviore adamello,10.39820737,46.08049071
sellero,10.33811802,46.06872235
seniga,10.17716028,45.24361392
serle,10.36886737,45.56174398
sirmione,10.60946835,45.46231487
soiano lago,10.51363282,45.53667141
sonico,10.35211195,46.16331325
sulzano,10.10278206,45.69073811
tavernole sul mella,10.24024832,45.74807504
temu,10.4704713,46.24975113
tignale,10.72185074,45.73951579
torbole casaglia,10.10502624,45.50830989
toscolanomaderno,10.60624725,45.64167518
travagliato,10.08021884,45.52337617
tremosine sul garda,10.75381073,45.76695652
trenzano,10.01571144,45.47595167
treviso bresciano,10.46199638,45.71274204
urago d oglio,9.87035354,45.51333465
vallio terme,10.39578004,45.60922643
valvestino,10.59482345,45.76184174
verolanuova,10.07665283,45.32577656
verolavecchia,10.0518125,45.33052185
vestone,10.40369545,45.70960367
vezza d oglio,10.40008121,46.24012026
villa carcina,10.19527204,45.63141952
villachiara,9.92960564,45.35687315
villanuova sul clisi,10.4537092,45.60166297
vione,10.44779791,46.24880802
visano,10.36908371,45.31626037
vobarno,10.49655796,45.64699577
zone,10.11661357,45.76219872
piancogno,10.22051406,45.91880417
alagna,8.88945222,45.16928391
albaredo arnaboldi,9.24350753,45.10683265
albonese,8.7061279,45.2928504
albuzzano,9.27717753,45.18754704
arena po,9.36186971,45.09443229
badia pavese,9.468549,45.12117417
bagnaria,9.12433895,44.82607599
barbianello,9.20599733,45.07570319
bascape,9.31542149,45.30464405
bastida pancarana,9.0915536,45.08630345
battuda,9.07740762,45.27357591
belgioioso,9.31602643,45.16273674
bereguardo,9.02449546,45.25744652
borgarello,9.14068907,45.23942871
borgo priolo,9.14841048,44.96650803
borgoratto mormorolo,9.19322114,44.93011284
borgo san siro,8.91269284,45.23483612
bornasco,9.21835501,45.26637718
bosnasco,9.35689545,45.0639987
brallo pregola,9.28189064,44.7384555
breme,8.62332043,45.12790235
bressana bottarone,9.1350806,45.07364272
broni,9.26129813,45.06197007
calvignano,9.16884328,44.98267158
campospinoso,9.24669485,45.09360451
candia lomellina,8.59816452,45.17473688
canevino,9.2735732,44.9447337
canneto pavese,9.28098021,45.05115779
carbonara ticino,9.05904974,45.16531723
casanova lonati,9.21373599,45.09441598
casatisma,9.13096391,45.04568877
casei gerola,8.92707305,45.0063079
casorate primo,9.01813904,45.3119243
cassolnovo,8.80894596,45.36582712
castana,9.27189802,45.02702606
casteggio,9.12494869,45.01239955
castelletto branduzzo,9.09766637,45.07018739
castello d agogna,8.68937848,45.23600468
castelnovetto,8.61139904,45.2543752
cava manara,9.10710573,45.13887406
cecima,9.08168596,44.8478148
ceranova,9.24226047,45.26001191
ceretto lomellina,8.67241282,45.24481961
cergnago,8.76908632,45.19717197
certosa pavia,9.1274166,45.25434477
cervesina,9.01775898,45.0611738
chignolo po,9.48820517,45.15251471
cigognola,9.24377127,45.03309465
cilavegna,8.74367717,45.3104294
codevilla,9.05549504,44.96399925
confienza,8.55760228,45.33191517
copiano,9.32090675,45.19747789
corana,8.96949055,45.06288562
corvino san quirico,9.15892253,45.01556343
costa de nobili,9.37878994,45.13242075
cozzo,8.61109735,45.19212476
cura carpignano,9.25707038,45.21179419
dorno,8.95195475,45.15485373
ferrera erbognone,8.86376906,45.11328526
filighera,9.31407227,45.17734084
fortunago,9.18468553,44.92159589
frascarolo,8.68279849,45.04690209
galliavola,8.81862618,45.09718401
gambarana,8.76279748,45.02873481
gambolo,8.8615853,45.24979779
garlasco,8.92353757,45.1963838
gerenzago,9.36220485,45.20355606
giussago,9.13993742,45.28429328
godiasco salice terme,9.05797207,44.89757219
golferenzo,9.30696852,44.96175776
gravellona lomellina,8.76399625,45.3288489
gropello cairoli,8.99214762,45.17717695
inverno e monteleone,9.38426433,45.19858107
landriano,9.25958712,45.31128201
langosco,8.56284388,45.21533301
lardirago,9.2343757,45.23543708
linarolo,9.2678855,45.16021171
lirio,9.25553586,44.99401253
lomello,8.79265237,45.12176665
lungavilla,9.0785878,45.04490566
magherno,9.32949555,45.2224498
marcignago,9.07736899,45.25435216
marzano,9.29457635,45.247586
mede,8.73661355,45.09693827
menconico,9.27906118,44.79595014
mezzana bigli,8.84596057,45.06088008
mezzana rabattone,9.03229261,45.09470572
mezzanino,9.20681323,45.12638643
miradolo terme,9.44317001,45.17163506
montalto pavese,9.20733549,44.97961147
montebello battaglia,9.10100735,44.99970083
montecalvo versiggia,9.28398668,44.97040409
montescano,9.29733537,45.03180352
montesegale,9.12689667,44.90637183
monticelli pavese,9.51274019,45.11050666
montu beccaria,9.31241837,45.03883483
mornico losana,9.20647093,45.00921957
mortara,8.73806527,45.25183779
nicorvo,8.66718852,45.2851465
olevano lomellina,8.71747483,45.21321772
oliva gessi,9.17362666,45.00533323
ottobiano,8.8321528,45.15127105
palestro,8.53467742,45.30584066
pancarana,9.05106462,45.07522925
parona,8.74981845,45.28261312
pavia,9.16015719,45.18509264
pietra de giorgi,9.22976461,45.0208258
pieve albignola,8.96031338,45.11312662
pieve cairo,8.80510102,45.04897446
pieve porto morone,9.43845739,45.11250986
pinarolo po,9.1648143,45.06602995
pizzale,9.04731478,45.03431401
ponte nizza,9.09737005,44.85187405
portalbera,9.32259546,45.0994069
rea,9.15434003,45.11386906
redavalle,9.20401766,45.03773197
retorbido,9.03634536,44.94922806
rivanazzano terme,9.01644721,44.93053102
robbio,8.5939575,45.28911604
robecco pavese,9.14865428,45.04842105
rocca de giorgi,9.25216656,44.97158431
rocca susella,9.09596542,44.91275863
rognano,9.08992208,45.28881563
romagnese,9.3294808,44.83722972
roncaro,9.27692361,45.22572761
rosasco,8.57927243,45.25030244
rovescala,9.35012702,45.01374627
ruino,9.2734518,44.92787354
san cipriano po,9.2808622,45.10908756
san damiano colle,9.34857225,45.0271211
san genesio ed uniti,9.17987326,45.232849
san giorgio lomellina,8.79111791,45.17380714
san martino siccomario,9.13451976,45.15715963
sannazzaro de burgondi,8.90828982,45.10316308
santa cristina e bissone,9.40113574,45.15679448
santa giuletta,9.18159447,45.03384034
sant alessio con vialone,9.22506259,45.22209769
santa margherita staffora,9.24055817,44.77079137
santa maria versa,9.29994477,44.9846895
sant angelo lomellina,8.6431448,45.2466213
san zenone po,9.36114462,45.10854539
sartirana lomellina,8.66185489,45.11434048
scaldasole,8.91019032,45.12493797
semiana,8.72970509,45.13736987
silvano pietra,8.94817867,45.03996573
siziano,9.19872487,45.32016711
sommo,9.08377546,45.13223484
spessa,9.34922713,45.11373851
stradella,9.2951673,45.07530591
suardi,8.74304811,45.02945257
torrazza coste,9.08644549,44.97654992
torre beretti e castellaro,8.67030548,45.05996692
torre d arese,9.31681664,45.2424014
torre de negri,9.33560207,45.15066298
torre d isola,9.07639687,45.21746495
torrevecchia pia,9.29792661,45.28286993
torricella verzate,9.17584206,45.01559546
travaco siccomario,9.16151622,45.15248202
trivolzio,9.04708121,45.26094339
tromello,8.86959755,45.21183831
trovo,9.03576818,45.28284959
val nizza,9.16683303,44.87933288
valeggio,8.86129109,45.15064328
valle lomellina,8.66495548,45.14711708
valle salimbene,9.23298223,45.16962743
valverde,9.23333357,44.86440068
varzi,9.1962725,44.82199953
velezzo lomellina,8.73721007,45.16370704
vellezzo bellini,9.10213278,45.26952835
verretto,9.1076969,45.04004064
verrua po,9.173167,45.11132967
vidigulfo,9.23483143,45.29187437
vigevano,8.85987557,45.31761391
villa biscossi,8.78668897,45.08995761
villanova d ardenghi,9.04324484,45.17133665
villanterio,9.36041071,45.22071855
vistarino,9.30645859,45.21147861
voghera,9.00852362,44.99312509
volpara,9.29747619,44.9537887
zavattarello,9.2654367,44.868745
zeccone,9.19841152,45.26093049
zeme,8.6663117,45.19492928
zenevredo,9.32664307,45.05390342
zerbo,9.39545253,45.11055284
zerbolo,9.0143866,45.20676064
zinasco,9.02849669,45.12824661
cornale e bastida,8.91089,45.0439
corteolona e genzone,9.3704,45.1588
acquanegra cremonese,9.88878548,45.16831524
agnadello,9.55920587,45.44713529
annicco,9.88185079,45.24474357
azzanello,9.91970439,45.31311906
bagnolo cremasco,9.60916312,45.36153682
bonemerse,10.07836814,45.11404791
bordolano,9.98705144,45.29285106
ca d andrea,10.27759481,45.11917122
calvatone,10.44206219,45.12883088
camisano,9.74619291,45.44259064
campagnola cremasca,9.66944164,45.39913388
capergnanica,9.64414845,45.33808233
cappella cantone,9.83810498,45.24652266
cappella de picenardi,10.23012535,45.15912616
capralba,9.64243814,45.44227445
casalbuttano ed uniti,9.96168245,45.25201488
casale cremascovidolasco,9.71390281,45.43160829
casaletto ceredano,9.61679215,45.31812763
casaletto sopra,9.78130227,45.41861722
casaletto vaprio,9.6290426,45.40727512
casalmaggiore,10.41378078,44.98742209
casalmorano,9.89784097,45.28708993
casteldidone,10.40578209,45.07067841
castel gabbiano,9.71762345,45.46846383
castelleone,9.76489432,45.29350315
castelverde,9.99696281,45.18570753
castelvisconti,9.94220743,45.30567509
cella dati,10.22126378,45.09615732
chieve,9.6161229,45.33750304
cicognolo,10.1940419,45.16761765
cingia de botti,10.27527725,45.0841602
corte de cortesi con cignone,10.00735107,45.27264649
corte de frati,10.09695797,45.22006346
credera rubbiano,9.65512749,45.30286286
crema,9.6873619,45.36329144
cremona,10.02420865,45.13336675
cremosano,9.64028087,45.3957885
crotta d adda,9.85252768,45.16136831
cumignano sul naviglio,9.83631833,45.35455461
derovere,10.24830654,45.11014217
dovera,9.5381977,45.36350267
drizzona,10.34969182,45.14025008
fiesco,9.77855341,45.33639762
formigara,9.77073788,45.22306217
gabbionetabinanuova,10.2216801,45.21581505
gadescopieve delmona,10.11603436,45.15529613
genivolta,9.87778112,45.33487444
gerre de caprioli,10.03838081,45.10680778
gombito,9.7300216,45.26222878
grontardo,10.15161743,45.20140495
grumello cremonese ed uniti,9.86736262,45.19324785
gussola,10.34635794,45.00988015
isola dovarese,10.31183922,45.17346097
izano,9.75509291,45.35573177
madignano,9.72762376,45.34334663
malagnino,10.11422694,45.13494893
martignana po,10.37927438,45.01090343
monte cremasco,9.57285773,45.37223703
montodine,9.71079969,45.28626458
moscazzano,9.68132273,45.29357867
motta baluffi,10.25959107,45.05446451
offanengo,9.74131684,45.38160349
olmeneta,10.02474325,45.23446724
ostiano,10.24873256,45.22180341
paderno ponchielli,9.92758336,45.23876047
palazzo pignano,9.57793306,45.38905006
pandino,9.55269092,45.40668143
persico dosimo,10.10335531,45.18462151
pescarolo ed uniti,10.18509595,45.19704222
pessina cremonese,10.24812085,45.18504294
piadena,10.3678837,45.13115093
pianengo,9.69280925,45.40046685
pieranica,9.61072341,45.42516414
pieve d olmi,10.12205833,45.09182746
pieve san giacomo,10.18674451,45.12808126
pizzighettone,9.78313165,45.18664763
pozzaglio ed uniti,10.04846986,45.20096583
quintano,9.61843663,45.42024179
ricengo,9.72366022,45.40554807
ripalta arpina,9.72730407,45.30163222
ripalta cremasca,9.69085968,45.33548635
ripalta guerina,9.70454366,45.30599095
rivarolo re ed uniti,10.4687891,45.0278583
rivolta d adda,9.51356807,45.46963995
robecco d oglio,10.07860016,45.26006795
romanengo,9.78545791,45.37734979
salvirola,9.78035753,45.35457978
san bassano,9.81348816,45.24650968
san daniele po,10.17634391,45.06726612
san giovanni croce,10.378411,45.07745004
san martino lago,10.31565993,45.07242871
scandolara ravara,10.30212945,45.05308515
scandolara ripa d oglio,10.15714461,45.22170438
sergnano,9.70478826,45.42811556
sesto ed uniti,9.91670824,45.17550294
solarolo rainerio,10.3570868,45.08126027
soncino,9.87356025,45.39988968
soresina,9.85425666,45.28863511
sospiro,10.15925599,45.10565613
spinadesco,9.92828507,45.14822339
spineda,10.51651065,45.06039475
spino d adda,9.49243269,45.40052368
stagno lombardo,10.08795842,45.07323308
ticengo,9.82820963,45.36915344
torlino vimercati,9.59681136,45.41851042
tornata,10.43084995,45.10466712
torre de picenardi,10.28686148,45.14400071
torricella pizzo,10.29564633,45.02004282
trescore cremasco,9.62544229,45.4016592
trigolo,9.81161994,45.32926498
vaiano cremasco,9.59127217,45.37249775
vailate,9.60501009,45.46162258
vescovato,10.16811976,45.17636519
volongo,10.30250641,45.21154507
voltido,10.33339356,45.11175931
acquanegra sul chiese,10.43338521,45.16049553
asola,10.41432135,45.22055281
bagnolo san vito,10.88141283,45.09248928
bigarello,10.89839216,45.18012071
borgofranco sul po,11.20473631,45.04941983
bozzolo,10.48451639,45.10531346
canneto sull oglio,10.37540525,45.15029003
carbonara po,11.22920362,45.03536191
casalmoro,10.40798158,45.2589957
casaloldo,10.48213987,45.25257166
casalromano,10.36510881,45.1972989
castelbelforte,10.89219834,45.21408104
castel d ario,10.9714046,45.18572114
castel goffredo,10.47462636,45.29795068
castellucchio,10.64451007,45.14673489
castiglione delle stiviere,10.49104943,45.3864959
cavriana,10.60099734,45.34991118
ceresara,10.56562252,45.26332286
commessaggio,10.54534234,45.03460205
curtatone,10.7162709,45.13376694
dosolo,10.64141144,44.95374837
gazoldo ippoliti,10.57957827,45.19989216
gazzuolo,10.58184611,45.06885217
goito,10.67547029,45.25521903
gonzaga,10.82119368,44.95474885
guidizzolo,10.5835291,45.31803119
magnacavallo,11.1847367,45.00462322
mantova,10.79277363,45.15726772
marcaria,10.53358846,45.11961873
mariana mantovana,10.4876164,45.19403347
marmirolo,10.75731353,45.22234005
medole,10.50745401,45.32707278
moglia,10.91192569,44.93033909
monzambano,10.69313808,45.38711484
motteggiana,10.76444048,45.03144077
ostiglia,11.13143318,45.06890884
pegognaga,10.85904901,44.99610137
pieve coriano,11.10811985,45.03293697
piubega,10.53502787,45.2275724
poggio rusco,11.11882241,44.97742721
pomponesco,10.59041521,44.92807036
ponti sul mincio,10.68746271,45.41155546
porto mantovano,10.79001314,45.18877514
quingentole,11.04575205,45.0398812
quistello,10.98043645,45.00906722
redondesco,10.51284971,45.16667057
revere,11.12697807,45.05788625
rivarolo mantovano,10.43101188,45.07056103
rodigo,10.62430268,45.19935682
roncoferraro,10.95100592,45.13324175
roverbella,10.76451212,45.26503872
sabbioneta,10.48991359,44.99975993
san benedetto po,10.92848767,45.04107354
san giacomo delle segnate,11.03316413,44.97181021
san giorgio mantova,10.84589851,45.16526842
san giovanni dosso,11.08112346,44.96608634
san martino dall argine,10.52014901,45.10070268
schivenoglia,11.07747756,44.99115212
sermide e felonica,11.2989691,45.00602954
serravalle a po,11.07981063,45.06565239
solferino,10.57297894,45.37181299
sustinente,11.01814371,45.06881028
suzzara,10.74561894,44.99023318
viadana,10.52143199,44.92611892
villa poma,11.11664577,44.99915395
villimpenta,11.0293895,45.1449413
volta mantovana,10.65949338,45.31957585
borgo virgilio,10.775,45.088
aldino,11.35402888,46.36783596
andriano,11.23293128,46.52023315
anterivo,11.36675092,46.2774946
appiano sulla strada vino,11.25885656,46.45527585
avelengo,11.22475188,46.64671212
badia,11.89342082,46.61067544
barbiano,11.51987095,46.60364899
bolzano,11.35662422,46.49933453
braies,12.1325695,46.71973406
brennero,11.44322879,46.93771816
bressanone,11.65699492,46.71643929
bronzolo,11.31989385,46.40460343
brunico,11.9372984,46.79738401
caines,11.1752993,46.6965165
caldaro sulla strada vino,11.24515892,46.41317465
campo trens,11.48395496,46.87111849
campo tures,11.95188039,46.91992376
castelbellociardes,10.90114298,46.62831219
castelrotto,11.55946126,46.56780623
cermes,11.14503298,46.63279289
chienes,11.83631922,46.80644678
chiusa,11.56809214,46.64167054
cornedo all isarco,11.39267489,46.49425422
cortaccia sulla strada vino,11.22355148,46.31331764
cortina sulla strada vino,11.22259368,46.26868917
corvara badia,11.8745233,46.55291042
curon venosta,10.54216821,46.80669161
dobbiaco,12.22019811,46.73551057
egna,11.27282548,46.31387437
falzes,11.8826532,46.8117497
fie allo sciliar,11.50139797,46.51753578
fortezza,11.61256174,46.78644534
funes,11.68057452,46.64226751
gais,11.9477335,46.835277
gargazzone,11.20131739,46.58471676
glorenza,10.55567836,46.67116521
laces,10.85946518,46.61763702
lagundo,11.11775573,46.67753737
laion,11.56460096,46.60876374
laives,11.33846501,46.42648803
lana,11.1452916,46.6161126
lasa,10.69756468,46.61787377
lauregno,11.06224733,46.45420512
luson,11.76072155,46.74589084
magre sulla strada vino,11.20897141,46.28686737
malles venosta,10.54480017,46.68953918
marebbe,11.93270219,46.69754471
marlengo,11.14041814,46.65479398
martello,10.78260147,46.56632365
meltina,11.25557484,46.58637551
merano,11.1618378,46.67176409
monguelfotesido,12.10478072,46.75693562
montagna,11.30272954,46.3313476
moso passiria,11.16900266,46.83012323
nalles,11.20422581,46.54109648
naturno,11.0053329,46.65103584
nazsciaves,11.66584939,46.77053266
nova levante,11.53555423,46.42978743
nova ponente,11.42559558,46.41411435
ora,11.29831873,46.34811537
ortisei,11.67180248,46.57611397
parcines,11.07350936,46.6844223
perca,11.98322218,46.79145734
plaus,11.04236898,46.65569401
ponte gardena,11.53033945,46.59706769
postal,11.1915481,46.6096293
prato allo stelvio,10.58959468,46.6175649
predoi,12.10286682,47.03849873
proves,11.02231835,46.47617681
racines,11.37850769,46.88271114
rasunanterselva,12.0493348,46.78077135
renon,11.4630202,46.53670501
rifiano,11.18033767,46.70159182
rio pusteria,11.66780079,46.79702773
rodengo,11.69495569,46.77932062
salorno,11.21297097,46.2391079
san candido,12.28204175,46.73242428
san genesio atesino,11.33158202,46.53564865
san leonardo passiria,11.24328928,46.81167592
san lorenzo sebato,11.90177375,46.78352784
san martino badia,11.89801735,46.681889
san martino passiria,11.226956,46.78260956
san pancrazio,11.08504315,46.58690151
santa cristina valgardena,11.72132932,46.55853007
sarentino,11.35624145,46.64270185
scena,11.18728565,46.69005377
selva molini,11.86059136,46.89130115
selva val gardena,11.75880704,46.55599324
senales,10.90957203,46.70539541
sesto,12.35031535,46.70209527
silandro,10.77314173,46.62793135
sluderno,10.58533678,46.66422759
stelvio,10.54555359,46.59769763
terento,11.77656972,46.82894661
terlano,11.249642,46.52883169
termeno sulla strada vino,11.23934849,46.34140482
tesimo,11.16913009,46.56409126
tires,11.52769626,46.46717216
tirolo,11.15357574,46.69045029
trodena nel parco naturale,11.34933722,46.32292639
tubre,10.46436095,46.64602194
ultimo,11.00306602,46.54883009
vadena,11.30517982,46.41449692
valdaora,12.0309743,46.76140696
val vizze,11.46246781,46.89971353
valle aurina,11.98080229,46.99686383
valle casies,12.22719988,46.81102783
vandoies,11.72213188,46.81614527
varna,11.63583954,46.74006051
verano,11.22574181,46.60511072
villabassa,12.169067,46.73775971
villandro,11.5398251,46.63140507
vipiteno,11.43179468,46.8979722
velturno,11.60009608,46.66947108
la valle,11.92581012,46.65661658
senalesan felice,11.13247907,46.49215807
ala,11.00475333,45.75676703
albiano,11.19376768,46.14520833
aldeno,11.09131825,45.97728775
andalo,11.0032873,46.16487823
arco,10.8861933,45.91928662
avio,10.94154266,45.73545329
baselga pine,11.2445269,46.12998915
bedollo,11.30321802,46.16142431
besenello,11.10618753,45.94568733
bieno,11.5536885,46.08024712
bleggio superiore,10.83705955,46.0253275
bocenago,10.75908629,46.11843068
bondone,10.55125567,45.80542077
borgo valsugana,11.45648568,46.05304141
brentonico,10.95493373,45.81886908
bresimo,10.96861301,46.41044397
brez,11.10727867,46.43104038
caderzone terme,10.75692332,46.12941256
cagno,11.04211957,46.39464733
calceranica lago,11.2423754,46.00375375
caldes,10.9428125,46.36513314
caldonazzo,11.26184714,45.99140479
calliano,11.09432828,45.9342713
campitello fassa,11.74009284,46.47574796
campodenno,11.03336746,46.25731146
canal san bovo,11.73137986,46.15631465
canazei,11.77129957,46.47683463
capriana,11.3391705,46.26297128
carano,11.4400563,46.2923022
carisolo,10.76386451,46.16904792
carzano,11.4936291,46.07087639
castel condino,10.60283973,45.91521143
castelfondo,11.11655375,46.45597424
castellomolina fiemme,11.43470654,46.28124969
castello tesino,11.63370534,46.06241572
castelnuovo,11.49419964,46.05226247
cavalese,11.46043364,46.29129819
cavareno,11.13660275,46.4079151
cavedago,11.02805643,46.18352917
cavedine,10.97082265,45.99391529
cavizzana,10.95837224,46.36818861
cimone,11.06846607,45.97819064
cinte tesino,11.61619434,46.0543692
cis,11.00233845,46.40005451
civezzano,11.17963203,46.09005862
cles,11.03564375,46.36440465
cloz,11.08663729,46.41892512
commezzadura,10.83926199,46.32122317
croviana,10.90454728,46.34463628
daiano,11.44788293,46.30067015
dambel,11.09302262,46.40491482
denno,11.05132614,46.27435425
drena,10.9445963,45.9711691
dro,10.9118157,45.96254924
faedo,11.16248613,46.192726
fai paganella,11.0695608,46.17838429
fiave,10.84202477,46.0048069
fierozzo,11.31823589,46.11178063
folgaria,11.17014101,45.91663324
fondo,11.13606457,46.44012582
fornace,11.20580077,46.11723367
frassilongo,11.29212297,46.08565885
garniga terme,11.08588791,46.00482982
giovo,11.1516807,46.15682949
giustino,10.76847784,46.14878032
grigno,11.63561779,46.01717508
imer,11.79680143,46.15109445
isera,11.0083521,45.8870757
lavarone,11.26970396,45.93938938
lavis,11.11173415,46.13971519
levico terme,11.30232766,46.01101281
livo,11.01916869,46.40554978
lonalases,11.21882443,46.14679565
luserna,11.32439104,45.92193218
male,10.91248259,46.35269834
malosco,11.1445235,46.43499359
massimeno,10.77300566,46.142305
mazzin,11.72840998,46.47036363
mezzana,10.80277007,46.31580915
mezzano,11.80595311,46.15452726
mezzocorona,11.11849988,46.21649042
mezzolombardo,11.09051799,46.21351447
moena,11.66021931,46.37660648
molveno,10.9662535,46.14288959
mori,10.97549449,45.85195052
nagotorbole,10.87605352,45.87057555
nave san rocco,11.10735653,46.1666899
nogaredo,11.02309066,45.91201029
nomi,11.07125718,45.92895668
novaledo,11.36579931,46.02257583
ospedaletto,11.552903,46.04363279
ossana,10.73804321,46.30627677
palu fersina,11.3521341,46.1299084
panchia,11.5422322,46.28567937
ronzochienis,10.94990671,45.89079928
peio,10.68907789,46.35528769
pellizzano,10.7605651,46.30938639
pelugo,10.72334177,46.08811132
pergine valsugana,11.24049381,46.0603175
pieve tesino,11.61057369,46.06901125
pinzolo,10.76660594,46.16001113
pomarolo,11.04305509,45.92679872
pozza fassa,11.68654422,46.43070096
predazzo,11.60278164,46.31256391
rabbi,10.85065549,46.39825276
revo,11.05782178,46.39103316
riva garda,10.83888821,45.88504406
romallo,11.06836216,46.39783103
romeno,11.12018975,46.39439766
roncegno terme,11.40968867,46.05098573
ronchi valsugana,11.43429735,46.06713704
ronzone,11.14999907,46.42333978
rovere luna,11.16960836,46.24998794
rovereto,11.04517514,45.88648404
ruffremendola,11.17746883,46.41450529
rumo,11.01732679,46.44106943
sagron mis,11.94327632,46.19492556
samone,11.52037588,46.08187379
san michele all adige,11.13405098,46.1926646
sant orsola terme,11.3025579,46.1082001
sanzeno,11.06805927,46.37441809
sarnonico,11.14140892,46.42004432
scurelle,11.50758651,46.06448377
segonzano,11.2587658,46.19036068
sfruz,11.11547195,46.33716824
soraga fassa,11.66881239,46.39603664
sover,11.31532726,46.22118281
spiazzo,10.73679917,46.10284998
spormaggiore,11.04822748,46.21857725
sporminore,11.03119056,46.23711782
stenico,10.85359956,46.05301338
storo,10.58018609,45.84927357
strembo,10.75161495,46.12001215
telve,11.47888916,46.07144614
telve sopra,11.47255576,46.07231279
tenna,11.2662951,46.0145839
tenno,10.83264413,45.91860092
terragnolo,11.1530395,45.878702
terzolas,10.92611911,46.3613707
tesero,11.51118835,46.28933907
tione trento,10.72326426,46.03171404
ton,11.08570405,46.26589858
torcegno,11.45001604,46.0732826
trambileno,11.07340897,45.86969867
trento,11.12123097,46.06893511
valfloriana,11.34214006,46.24896578
vallarsa,11.11763173,45.78259232
varena,11.4560065,46.3033557
vermiglio,10.69285089,46.29882667
vignolafalesina,11.27816706,46.04391844
vigo fassa,11.6733468,46.42040429
villa lagarina,11.03184685,45.91604151
volano,11.06079067,45.91719314
zambana,11.09603972,46.15125132
ziano fiemme,11.56112305,46.28646875
comano terme,10.8688522,46.03166101
ledro,10.73311322,45.88870857
predaia,11.0731,46.3234
san lorenzo dorsino,10.9095,46.0775
