Comune,Longitudine,Latitudine
perosa argentina,7.19237022,44.95809915
perosa canavese,7.82925599,45.39715691
perrero,7.11526705,44.93745704
pertusio,7.63872415,45.35339905
pessinetto,7.40284722,45.29054324
pianezza,7.54635756,45.10062332
pinasca,7.22767284,44.94266195
pinerolo,7.33200099,44.88733486
pino torinese,7.77216514,45.0435201
piobesi torinese,7.61193106,44.93305708
piossasco,7.46275512,44.99070006
piscina,7.42589738,44.9194642
piverone,8.00710274,45.44754377
poirino,7.84361932,44.92119885
pomaretto,7.18220303,44.95506624
pontcanavese,7.59357096,45.42072843
porte,7.2679851,44.88756523
pragelato,6.94229337,45.0162756
prali,7.04904363,44.89040764
pralormo,7.90066311,44.86135787
pramollo,7.21169848,44.90458825
prarostino,7.2697214,44.86584045
prascorsano,7.61570863,45.36765655
pratiglione,7.59609066,45.35364806
quagliuzzo,7.78183655,45.42649496
quassolo,7.83247599,45.52493469
quincinetto,7.80576899,45.56081088
reano,7.42955396,45.05170702
ribordone,7.50241918,45.43160898
rivalba,7.8870447,45.11880638
rivalta torino,7.52329257,45.03454517
riva presso chieri,7.86919927,44.98628102
rivara,7.62506151,45.33231529
rivarolo canavese,7.7252213,45.33279488
rivarossa,7.71719961,45.25127899
rivoli,7.53394487,45.07062854
robassomero,7.57015928,45.20008262
rocca canavese,7.57853704,45.30940721
roletto,7.33066832,44.92524919
romano canavese,7.86790447,45.39134325
ronco canavese,7.54567243,45.4994291
rondissone,7.96581632,45.24678796
rora,7.19849234,44.79230499
roure,7.12908516,45.00108393
rosta,7.4639672,45.07142005
rubiana,7.38239842,45.13920427
rueglio,7.75582201,45.46784892
salassa,7.68939186,45.35955646
salbertrand,6.88368812,45.07237164
salerano canavese,7.84990248,45.45644258
salza pinerolo,7.05324489,44.94054394
samone,7.84564332,45.44928553
san benigno canavese,7.78265511,45.22396157
san carlo canavese,7.61016157,45.24815307
san colombano belmonte,7.61845112,45.38143971
san didero,7.21515502,45.13516257
san francesco campo,7.65566462,45.22553762
sangano,7.45053852,45.0262359
san germano chisone,7.24085653,44.89871585
san gillio,7.53383254,45.14205994
san giorgio canavese,7.79425943,45.33544394
san giorio susa,7.17753154,45.12841513
san giusto canavese,7.80833346,45.31221415
san martino canavese,7.81836251,45.39459427
san maurizio canavese,7.63075305,45.21911823
san mauro torinese,7.76632833,45.10309541
san pietro val lemina,7.31355518,44.90732828
san ponso,7.66751665,45.35081649
san raffaele cimena,7.84869672,45.147225
san sebastiano da po,7.9534693,45.16644198
san secondo pinerolo,7.29864772,44.86656606
sant ambrogio torino,7.35931306,45.09968774
sant antonino susa,7.27350974,45.10708303
santena,7.77316006,44.94968716
sauze cesana,6.86049707,44.94044645
sauze d oulx,6.85824935,45.02808681
scalenghe,7.49796536,44.88830917
scarmagno,7.8407106,45.38582635
sciolze,7.87766236,45.09503651
sestriere,6.87655108,44.95764886
settimo rottaro,7.99223087,45.40489983
settimo torinese,7.77124007,45.13698893
settimo vittone,7.831721,45.54810664
sparone,7.54421421,45.41330062
strambinello,7.76866207,45.42324307
strambino,7.88062828,45.38458718
susa,7.04641962,45.13525075
tavagnasco,7.82261044,45.54322012
torino,7.68068748,45.0732745
torrazza piemonte,7.9749012,45.21520992
torre canavese,7.76053919,45.39182464
torre pellice,7.22397861,44.82074148
trana,7.41730319,45.03709504
