Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
BMW 118 118d 2.0d 150Cv C.Auto M Sport - autoone.it - 2k*,https://www.autoscout24.it/annunci/bmw-118-118d-2-0d-150cv-c-auto-m-sport-autoone-it-2k-diesel-grigio-d095fdff-8519-4c36-80ce-1d4da800fb1e,118d,29690.0,46,automatico,2023,Diesel,136.0,Rivenditore,50145,firenze
BMW 116 Serie 1 F40 116d Msport auto,https://www.autoscout24.it/annunci/bmw-116-serie-1-f40-116d-msport-auto-diesel-bianco-a6982c61-a27a-4310-b87e-d47c56807dd6,116d,26499.0,11,automatico,2021,Diesel,136.0,Rivenditore,80044,ottaviano
BMW 116 116d Business Advantage auto,https://www.autoscout24.it/annunci/bmw-116-116d-business-advantage-auto-diesel-bianco-83531dc2-4dc1-43df-93a4-0c1072e4d685,116d,22500.0,48,automatico,2020,Diesel,136.0,Rivenditore,4023,formia
BMW 116 d Msport auto,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-bianco-425df351-b111-4602-bb47-9d44b9be4828,116d,27900.0,51,automatico,2022,Diesel,136.0,Rivenditore,57121,livorno
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-c4e01055-bf75-4e40-9882-d1e5eeee2a55,118d,28000.0,7,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 118 D 5 Porte Business Advantage AUT,https://www.autoscout24.it/annunci/bmw-118-d-5-porte-business-advantage-aut-diesel-nero-72b1bf24-72f5-4376-ac06-272489bf9f22,118d,23900.0,31,automatico,2021,Diesel,136.0,Rivenditore,4100,latina
BMW 116 d 5p. Business Advantage,https://www.autoscout24.it/annunci/bmw-116-d-5p-business-advantage-diesel-nero-57a96c7b-fbd5-4e14-8879-1848e19b44eb,116d,24900.0,52,automatico,2021,Diesel,136.0,Rivenditore,73100,lecce
BMW 118 d 150 Cv M-Sport/Fari Led/Pack Luci/Cerchi 18...,https://www.autoscout24.it/annunci/bmw-118-d-150-cv-m-sport-fari-led-pack-luci-cerchi-18-diesel-nero-439640b5-3c92-43cc-b333-472cda6019ed,118d,29990.0,68,automatico,2023,Diesel,136.0,Rivenditore,74028,sava
BMW 118 118d 2.0d 150Cv C.Auto M Sport - autoone.it - 2k*,https://www.autoscout24.it/annunci/bmw-118-118d-2-0d-150cv-c-auto-m-sport-autoone-it-2k-diesel-grigio-59ac7703-e309-4cf7-b460-9f398704275f,118d,29690.0,46,automatico,2023,Diesel,136.0,Rivenditore,20037,paderno dugnano
BMW 116d 5p. M Sport,https://www.autoscout24.it/annunci/bmw-116-116d-5p-m-sport-diesel-grigio-a44aa97b-ea81-4552-a42c-27197f3b1bf9,116d,,,automatico,,Diesel,136.0,Rivenditore,31033,castelfranco veneto
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-bianco-5915ccb2-a09c-4d8c-a179-94dd9c2f118e,118d,28000.0,4,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-1b14d7fa-49d0-4a9c-b75e-1dd63949e4c8,118d,28000.0,7,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-42d7a555-9af6-46f4-8c20-eb90da38ce53,118d,29000.0,3,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
