Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
24900,5,58,1,136,1,121,1,0,1,0,0,0,0,0
23890,4,51,1,136,1,178,1,0,0,1,0,1,0,0
25500,3,65,1,136,1,89,1,0,1,0,0,0,0,0
27990,3,55,1,136,1,177,0,0,1,0,0,1,0,0
25750,5,68,1,136,1,170,1,0,1,0,0,1,0,0
23800,5,48,1,136,1,177,0,0,1,0,0,1,0,0
21900,5,35,1,136,1,194,1,0,0,0,1,0,1,0
21999,4,49,1,136,1,55,1,0,0,0,0,0,0,0
28500,4,35,1,136,1,753,1,0,1,0,0,0,0,1
27000,1,20,1,136,1,177,0,0,1,0,0,1,0,0
23988,2,30,1,136,1,239,1,0,0,0,0,0,1,0
26900,5,61,1,136,1,259,1,0,0,0,1,1,0,0
24800,5,34,1,136,1,146,1,0,0,0,0,1,0,0
25800,1,5,1,136,1,189,0,0,0,0,0,1,0,0
24900,5,64,1,136,1,111,0,0,1,0,0,1,0,0
24600,5,50,1,136,1,191,1,0,0,0,1,0,0,0
21999,3,63,1,136,1,187,0,0,0,0,0,1,0,0
19900,4,66,1,136,1,319,1,0,0,0,0,0,1,0
23900,4,54,1,136,1,286,1,0,1,0,0,1,0,0
23499,5,53,1,136,1,77,1,0,1,0,0,0,0,0
27800,1,16,1,136,1,275,0,0,1,0,0,1,0,0
21900,5,61,1,136,1,383,0,0,0,0,0,0,1,0
27900,2,14,1,136,1,299,0,0,1,0,0,1,0,0
27890,4,66,1,136,1,356,1,0,1,0,0,0,1,0
21400,5,52,1,136,1,23,0,0,0,0,1,0,0,0
26000,1,13,1,136,1,177,1,0,1,0,0,1,0,0
29999,4,48,1,136,1,87,0,0,0,1,0,0,1,0
21990,5,50,1,136,1,40,1,0,0,0,0,0,0,0
32800,3,39,1,136,1,326,0,0,0,1,0,0,1,0
25999,1,156,1,136,1,99,0,0,0,1,0,0,1,0
29890,1,9,1,136,1,270,1,0,1,0,0,1,0,0
29700,2,27,1,136,1,256,0,0,1,0,0,1,0,0
29500,2,7,1,136,1,256,0,0,1,0,0,1,0,0
24950,4,52,1,136,1,189,1,0,0,0,1,1,0,0
25860,5,50,1,136,1,91,1,0,1,0,0,0,1,0
27400,4,69,1,136,1,101,1,0,1,0,0,0,0,0
23950,5,67,1,136,1,99,0,0,1,0,0,0,0,0
26400,4,54,1,136,1,124,1,0,1,0,0,0,0,0
26200,5,66,1,136,1,288,1,0,1,0,0,1,0,0
25900,2,25,1,136,1,326,0,0,1,0,0,0,1,0
21900,3,62,1,136,1,175,0,0,0,0,0,1,0,0
26000,1,15,1,136,1,177,1,0,1,0,0,1,0,0
25000,3,49,1,136,1,177,0,0,1,0,0,1,0,0
28000,3,40,1,136,1,104,1,0,1,0,0,0,1,0
22880,4,63,1,136,1,326,1,0,1,0,0,0,1,0
30000,4,42,1,136,1,99,1,0,1,0,0,0,1,0
25500,4,59,1,136,1,264,1,0,0,0,1,1,0,0
25900,4,57,1,136,1,852,0,0,1,0,0,0,0,1
26500,3,17,1,136,1,77,0,0,1,0,0,0,0,0
29990,4,55,1,136,1,127,1,0,1,0,0,0,0,0
26800,5,50,1,136,1,56,1,0,1,0,0,1,0,0
24800,4,30,1,136,1,190,1,0,1,0,0,1,0,0
28400,4,25,1,136,1,57,0,0,1,0,0,0,0,0
26000,1,15,1,136,1,177,1,0,1,0,0,1,0,0
29986,4,37,1,136,1,16,1,0,1,0,0,0,0,0
27200,2,41,1,136,1,147,1,0,1,0,0,1,0,0
28990,4,55,1,136,1,326,1,0,1,0,0,0,1,0
28960,5,59,1,136,1,196,1,0,1,0,0,1,0,0
26800,3,33,1,136,1,147,1,0,1,0,0,1,0,0
27990,3,66,1,136,1,177,1,0,1,0,0,1,0,0
29800,2,25,1,136,1,107,1,0,1,0,0,0,0,0
25499,2,35,1,136,1,475,1,0,0,0,0,0,0,1
25900,2,43,1,136,1,630,1,0,0,0,0,0,0,1
25999,5,45,1,136,1,89,1,0,1,0,0,0,0,0
29400,3,49,1,136,1,326,1,0,1,0,0,0,1,0
28990,1,9,1,136,1,290,0,0,1,0,0,1,0,0
19400,4,59,1,136,1,275,0,0,0,0,0,1,0,0
26550,3,32,1,136,1,245,1,0,1,0,0,1,0,0
20400,4,59,1,136,1,275,0,0,0,0,0,1,0,0
25000,3,33,1,136,1,177,0,0,1,0,0,1,0,0
30000,4,12,1,136,1,256,0,0,1,0,0,1,0,0
