Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
Audi A3 SPB 40 TFSI e S tronic Business 204 cv,https://www.autoscout24.it/annunci/audi-a3-spb-40-tfsi-e-s-tronic-business-204-cv-elettrica-benzina-argento-a115e065-6e76-4d15-9df4-1fbdc9c000fe,40 TFSI,,40320,automatico,2022,Ibrido,110.0,Rivenditore,22036,erba
Audi A3 A3 2021 Sportback Sportback 35 2.0 tdi  s-tronic,https://www.autoscout24.it/annunci/audi-a3-a3-2021-sportback-sportback-35-2-0-tdi-s-tronic-diesel-grigio-b27e0eeb-a209-4720-8f94-a33eaa9976ff,,20999.0,110000,automatico,2021,Diesel,110.0,Rivenditore,80011,acerra
Audi A3 A3 Sportback 30 2.0 tdi S line edition s-tronic,https://www.autoscout24.it/annunci/audi-a3-a3-sportback-30-2-0-tdi-s-line-edition-s-tronic-diesel-grigio-30b17798-ccde-4737-a36a-94b59ac87871,,20800.0,167618,automatico,2021,Diesel,110.0,Rivenditore,50054,fucecchio
Audi A3 SPB 30TDI Stronic S line edition SCONTO PROMO PLUS,https://www.autoscout24.it/annunci/audi-a3-spb-30tdi-stronic-s-line-edition-sconto-promo-plus-diesel-blu-azzurro-d0f96ac7-c116-461a-803f-e4fe7b6fe5b1,30 TDI,24900.0,60000,automatico,2023,Diesel,110.0,Rivenditore,15122,alessandria
Audi A3 3ª serie - A3 SPB 35 TDI S tronic Admired,https://www.autoscout24.it/annunci/audi-a3-3-serie-a3-spb-35-tdi-s-tronic-admired-diesel-grigio-f9a10f15-6b6a-4759-b582-825f2ada3846,35 TDI,18900.0,110000,automatico,2020,Diesel,110.0,Rivenditore,20025,legnano
Audi A3 SPB 30 TDI Business MANUALE-GARANZIA3ANNI,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-manuale-garanzia3anni-diesel-nero-0d807d73-37c5-4996-bfe9-88e1d8eaf027,30 TDI,17400.0,102700,manuale,2020,Diesel,110.0,Rivenditore,21042,caronno pertusella
Audi A3 A3 III 2016 Sportback 35 2.0 tdi Business 150cv,https://www.autoscout24.it/annunci/audi-a3-a3-iii-2016-sportback-35-2-0-tdi-business-150cv-diesel-77e730b0-ae15-402c-9444-e3a8b580ecfb,,20990.0,46000,manuale,2020,Diesel,110.0,Rivenditore,4019,terracina
Audi A3 4ª serie - A3 SPB 30 TDI Business,https://www.autoscout24.it/annunci/audi-a3-4-serie-a3-spb-30-tdi-business-diesel-bianco-99111501-402d-43e4-ac8b-5386898f6853,30 TDI,20200.0,92106,manuale,2020,Diesel,110.0,Rivenditore,20025,legnano
Audi A3 Sportback 30 2.0 tdi Business Advanced,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-advanced-diesel-bianco-4d6cd55c-9457-476e-be82-7d58621be127,,21850.0,105142,manuale,2021,Diesel,110.0,Rivenditore,62010,appignano
Audi A3 sportback 30 1.0 tfsi business advanced,https://www.autoscout24.it/annunci/audi-a3-sportback-30-1-0-tfsi-business-advanced-benzina-grigio-7c80b6ee-a2bd-4190-a2be-359e2c4773a4,,23300.0,56653,manuale,2022,Benzina,110.0,Rivenditore,178,roma
