Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 35 AMG
4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-4matic-auto-benzina-grigio-6e7b7f3a-ea77-422b-bd87-a91324c03a47,Mercedes-Benz,A 35 AMG,4matic auto,,€ 38.900,65.711 km,Automatico,11/2022,Benzina,225 kW (306 CV),Concessionaria Ufficiale BMW MINI Maserati • IT-35131 Padova - Pd
"Mercedes-Benz
A 200
A 200 d Premium Night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-premium-night-edition-auto-diesel-grigio-2b83f26c-c67e-444c-ac81-246798542b32,Mercedes-Benz,A 200,A 200 d Premium Night edition auto,,€ 30.990,61.056 km,Automatico,07/2021,Diesel,110 kW (150 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
180 d sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-bianco-d56bcafc-a1de-41e8-86b6-2ec2974a1269,Mercedes-Benz,A 180,180 d sport auto,,€ 26.400,65.733 km,Semiautomatico,01/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-argento-437918bc-6628-4b01-a8f2-bbc79a25c397,Mercedes-Benz,A 180,180 d amg line premium auto,,€ 36.500,15.095 km,Semiautomatico,10/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 35 AMG
a amg 35 race edition 4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-race-edition-4matic-auto-benzina-grigio-14f6d62b-314c-4363-bb80-bfb584578b35,Mercedes-Benz,A 35 AMG,a amg 35 race edition 4matic auto,,€ 39.600,45.178 km,Semiautomatico,08/2021,Benzina,225 kW (306 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 200
A 200 d Premium Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-premium-automatic-diesel-nero-393b9e0f-e440-4fd3-8ef8-ee9e3e598cfb,Mercedes-Benz,A 200,A 200 d  Premium Automatic,,€ 27.499,69.421 km,Automatico,11/2019,Diesel,110 kW (150 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 35 AMG
A 35 AMG 4Matic",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-giallo-b887cda2-d051-495f-b077-208c6121990c,Mercedes-Benz,A 35 AMG,A 35 AMG 4Matic,,€ 34.699,28.970 km,Automatico,06/2019,Benzina,225 kW (306 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180
180 d sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-bianco-5c5987ea-df93-4be7-b5b6-8e39df66c4fb,Mercedes-Benz,A 180,180 d sport auto,,€ 26.800,42.411 km,Semiautomatico,12/2021,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 200
A 200 Premium Night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-premium-night-edition-auto-benzina-bianco-4f974a4a-0638-4eca-8532-a2bc0c78aca2,Mercedes-Benz,A 200,A 200 Premium Night edition auto,,€ 29.490,48.337 km,Automatico,07/2021,Benzina,120 kW (163 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 200
d AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-grigio-e782fc33-d471-4090-8634-f0e6e001cbc8,Mercedes-Benz,A 200,d AMG Line Advanced Plus auto,,€ 35.900,20.600 km,Automatico,07/2024,Diesel,110 kW (150 CV),Andrea Mametti • IT-43036 Fidenza - Parma - PR
"Mercedes-Benz
A 180
d PREMIUM AMG SEDAN AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-sedan-automatic-diesel-bianco-0b785c4c-0cd3-4b95-bc71-f9e99506bbb8,Mercedes-Benz,A 180,d PREMIUM AMG SEDAN AUTOMATIC,,€ 34.900,8.775 km,Automatico,04/2023,Diesel,85 kW (116 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
d SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-sport-automatic-diesel-bianco-51e87901-7804-493e-bd36-de57fedf9a6c,Mercedes-Benz,A 180,d SPORT AUTOMATIC,,€ 29.900,13.572 km,Automatico,12/2023,Diesel,85 kW (116 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 250
MHV 4MATIC PREMIUM AMG AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-250-mhv-4matic-premium-amg-automatic-elettrica-benzina-bianco-e459eb7b-b73b-4b34-8cfd-184d38fbb197,Mercedes-Benz,A 250,MHV 4MATIC PREMIUM AMG AUTOMATIC,,€ 38.900,11.539 km,Automatico,02/2024,Elettrica/Benzina,165 kW (224 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
180 d sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-blu-azzurro-3b6109c9-eb20-4850-b1da-fd9a0c0d804c,Mercedes-Benz,A 180,180 d sport auto,,€ 27.900,37.610 km,Semiautomatico,12/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-w177-a-180-automatic-amg-line-premium-benzina-bianco-abc18979-9038-45cb-81c0-66e7db5d6138,Mercedes-Benz,A 180,(W177) A 180 Automatic AMG Line Premium,,,,,,,,Responsabile Vendite Autoserenissima • IT-36100 Vicenza - VI
"Mercedes-Benz
A 200
200 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-premium-auto-diesel-bianco-692bca89-e77f-412f-b1ca-ad52ced13fbd,Mercedes-Benz,A 200,200 d amg line premium auto,,€ 38.500,19.327 km,Semiautomatico,09/2023,Diesel,110 kW (150 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180d Business Extra aut. 1.5 Diesel 116CV",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-business-extra-aut-1-5-diesel-116cv-diesel-argento-60bd50ea-ddbe-4f17-88fa-3cdbc2a6ed0b,Mercedes-Benz,A 180,180d Business Extra aut. 1.5 Diesel 116CV,,€ 21.990,63.559 km,Automatico,07/2020,Diesel,85 kW (116 CV),IT-42122 Reggio Emilia RE
"Mercedes-Benz
A 200
d AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-argento-6ed0f048-7eca-4695-968f-b968f9d5f84c,Mercedes-Benz,A 200,d AMG Line Advanced Plus auto,,€ 33.850,18.030 km,Automatico,09/2023,Diesel,110 kW (150 CV),Servizio Clienti • IT-43122 Parma
"Mercedes-Benz
A 200
IBRIDA - Automatic AMG Line Advanced Plus MILD HYB",https://www.autoscout24.it/annunci/mercedes-benz-a-200-ibrida-automatic-amg-line-advanced-plus-mild-hyb-elettrica-benzina-grigio-abb22d19-89f0-4997-a127-ebd256dfa586,Mercedes-Benz,A 200,IBRIDA - Automatic AMG Line Advanced Plus MILD HYB,,€ 37.500,10 km,Automatico,11/2023,Elettrica/Benzina,120 kW (163 CV),Frattin Group - Piove di Sacco • IT-35028 Piove di Sacco - Padova - PD
"Mercedes-Benz
A 180
d PREMIUM AMG AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-bianco-9eae3385-c672-49eb-b9ff-c50cb3622997,Mercedes-Benz,A 180,d PREMIUM AMG AUTOMATIC,,€ 33.300,22.082 km,Automatico,05/2024,Diesel,85 kW (116 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
