Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 250
AMG PREMIUM PAK LUCI LED FULL",https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-led-full-benzina-grigio-6b4fc770-e10c-42f0-b72b-2821e038599a,Mercedes-Benz,A 250,AMG PREMIUM PAK LUCI LED FULL,,€ 34.900,19.100 km,Automatico,11/2022,Benzina,165 kW (224 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
A 180 d Automatic 4p. Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-4p-premium-diesel-nero-047e43a9-3791-45aa-99c4-f3499d53393e,Mercedes-Benz,A 180,A 180 d Automatic 4p. Premium,,€ 27.400,63.660 km,Automatico,05/2022,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d Automatic Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-nero-3f0cda7c-daa1-44c3-8a76-5af8c88beb7a,Mercedes-Benz,A 180,d Automatic Progressive Advanced,,€ 33.400,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 35 AMG
Mercedes-Benz Classe A35 AMG 4MATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-mercedes-benz-classe-a35-amg-4matic-benzina-grigio-d473cd40-2e40-4b8e-880f-c5a969247e4a,Mercedes-Benz,A 35 AMG,Mercedes-Benz Classe A35 AMG 4MATIC,,€ 36.999,70.000 km,Automatico,05/2020,Benzina,225 kW (306 CV),Ufficio Vendite - Uffici Acquisti - Amministrazione • IT-42041 Brescello - Re
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-premium-night-edition-diesel-bianco-18ca4fa2-5cec-435b-9b45-4bec01740764,Mercedes-Benz,A 180,d Automatic Premium Night Edition,,,,,,,,Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 35 AMG
A 35 AMG 4Matic",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-rosso-7c26502f-4df7-4e06-87fa-bd3383e8834f,Mercedes-Benz,A 35 AMG,A 35 AMG 4Matic,,€ 33.499,69.542 km,Automatico,02/2022,Benzina,225 kW (306 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 250
e phev (eq-power) Sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-phev-eq-power-sport-auto-elettrica-benzina-grigio-186bade1-e115-4130-a13e-ef172343e9b4,Mercedes-Benz,A 250,e phev (eq-power) Sport auto,,€ 24.999,67.000 km,Semiautomatico,11/2020,Elettrica/Benzina,118 kW (160 CV),Emanuele . • IT-35030 Selvazzano Dentro - PD
"Mercedes-Benz
A 250
e Automatic Plug-in hybrid AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-amg-line-advanced-plus-elettrica-benzina-nero-9889633d-aaf0-4de4-acc6-2fd7c823363d,Mercedes-Benz,A 250,e Automatic Plug-in hybrid AMG Line Advanced Plus,,€ 32.800,10 km,Automatico,12/2023,Elettrica/Benzina,120 kW (163 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Progressive Advanced Plus auto Tetto Panorama",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-plus-auto-tetto-panorama-diesel-bianco-07258a8e-cea6-4ccb-9de1-5cb29a13e9ba,Mercedes-Benz,A 180,d Progressive Advanced Plus auto Tetto Panorama,,€ 30.900,31.000 km,Automatico,05/2023,Diesel,85 kW (116 CV),Giorgio Grassi • IT-29010 Castelvetro Piacentino - Piacenza - Pc
"Mercedes-Benz
A 250
A 250 e Automatic Plug-in hybrid Advanced Progres",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-automatic-plug-in-hybrid-advanced-progres-elettrica-benzina-nero-ebbb2d2b-96bc-496e-99c4-63679a271574,Mercedes-Benz,A 250,A 250 e Automatic Plug-in hybrid Advanced Progres,,€ 30.400,43.164 km,Automatico,11/2023,Elettrica/Benzina,160 kW (218 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 220
D 2.0 SPORT AUTOMATICO",https://www.autoscout24.it/annunci/mercedes-benz-a-220-d-2-0-sport-automatico-diesel-bianco-8c23895a-54fe-4676-8add-0b95c21c98cb,Mercedes-Benz,A 220,D 2.0 SPORT AUTOMATICO,,€ 28.500,50.000 km,Automatico,08/2020,Diesel,140 kW (190 CV),Gino Schiavo • IT-36070 Castelgomberto - Vicenza - VI
"Mercedes-Benz
A 200
d Premium auto AMG line",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-premium-auto-amg-line-diesel-nero-103f74ce-2faf-4709-ae36-59f9339684cd,Mercedes-Benz,A 200,d Premium auto AMG line,,€ 33.500,33.000 km,Semiautomatico,06/2022,Diesel,110 kW (150 CV),responsabile vendite Daniele • IT-51018 Pieve A Nievole - Pt
"Mercedes-Benz
A 250
A 250 e Plug-in hybrid AMG Line Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-plug-in-hybrid-amg-line-advanced-elettrica-benzina-bianco-beb814ab-ef2f-4665-8b8d-89c883f464fb,Mercedes-Benz,A 250,A 250 e Plug-in hybrid AMG Line Advanced,€ 35.900,,28.976 km,Automatico,09/2023,Elettrica/Benzina,160 kW (218 CV),De Stefani Servizio Clienti • IT-47522 Martorano di Cesena- Cesena
"Mercedes-Benz
A 250
e hybrid EQ Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-hybrid-eq-premium-elettrica-benzina-nero-40ec7c9c-c746-4deb-9c09-f2e6fc39adae,Mercedes-Benz,A 250,e hybrid EQ Premium,,€ 27.900,58.991 km,Automatico,02/2022,Elettrica/Benzina,118 kW (160 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-executive-diesel-nero-6d692649-6484-4199-969a-88247a09bbd5,Mercedes-Benz,A 180,A 180 d Automatic Executive,€ 35.190,,- km,Semiautomatico,- (Anno),Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 250
e hybrid EQ Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-hybrid-eq-progressive-advanced-elettrica-benzina-bianco-7d56bce4-331d-417f-adcb-284597d6904b,Mercedes-Benz,A 250,e hybrid EQ Progressive Advanced,,€ 30.900,15.989 km,Automatico,11/2023,Elettrica/Benzina,120 kW (163 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-automatic-executive-elettrica-benzina-nero-71b0e47c-eb24-4cad-b26c-46342fd20250,Mercedes-Benz,A 180,A 180 Automatic Executive,€ 32.690,,- km,Semiautomatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-sport-diesel-nero-ce6347bf-0b58-4cbe-8dc8-dd1dacc2a0d3,Mercedes-Benz,A 180,A 180 d Automatic Sport,,€ 26.900,41.600 km,Semiautomatico,10/2021,Diesel,85 kW (116 CV),Responsabile Vendite Garonzi Motors S.R.L. • IT-37010 Affi - Verona - Vr
"Mercedes-Benz
A 200
d Automatic Business",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-business-diesel-nero-4868d52c-b505-4b02-a07d-b62731480008,Mercedes-Benz,A 200,d Automatic Business,,€ 25.800,54.537 km,Automatico,03/2021,Diesel,110 kW (150 CV),Pietro Lorusso • IT-40055 Villanova - Bo
"Mercedes-Benz
A 180
AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-benzina-nero-a6aeec34-9575-4b2c-af38-8f49cd98cd87,Mercedes-Benz,A 180,AMG Line,,€ 31.600,3.500 km,Manuale,08/2022,Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
Progressive Advanced Plus auto FACELIFT",https://www.autoscout24.it/annunci/mercedes-benz-a-180-progressive-advanced-plus-auto-facelift-benzina-bianco-7d9555e7-538e-4830-a8d6-c678e1a42336,Mercedes-Benz,A 180,Progressive Advanced Plus auto FACELIFT,,€ 28.900,19.500 km,Automatico,03/2024,Benzina,100 kW (136 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 200
Automatic Executive (w177) PELLE AUTOMATICO VIRTUA",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-executive-w177-pelle-automatico-virtua-diesel-blu-azzurro-117f71b9-eed3-4e41-88a4-f8465a45b31d,Mercedes-Benz,A 200,Automatic Executive (w177) PELLE AUTOMATICO VIRTUA,,€ 25.999,59.000 km,Automatico,08/2020,Diesel,110 kW (150 CV),Ufficio Vendite - Uffici Acquisti - Amministrazione • IT-42041 Brescello - Re
"Mercedes-Benz
A 180
d Automatic Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-bianco-84c5a4ac-bdd4-4d03-8884-2baba3f24e19,Mercedes-Benz,A 180,d Automatic Progressive Advanced,,€ 32.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
,https://www.autoscout24.it/annunci/mercedes-benz-a-200-classe-a-200-d-amg-150cv-auto-diesel-bianco-7113f9bd-0fea-4c52-9ce8-52a0608dc37b,Mercedes-Benz,A 200,Classe A 200 d AMG 150cv auto *,,,,,,,,Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 180
180 d premium night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-night-edition-auto-diesel-nero-eea37385-576a-42ca-8156-d88539b2e6b3,Mercedes-Benz,A 180,180 d premium night edition auto,,€ 31.000,34.423 km,Semiautomatico,06/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 200
Premium AMG VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-vari-colori-e-allestimenti-disponibili-benzina-bianco-5458dad4-9c53-40e7-af2a-3ec6c0a07d7b,Mercedes-Benz,A 200,Premium AMG VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 32.900,13.800 km,Automatico,08/2024,Benzina,120 kW (163 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
D SPORT VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-sport-vari-colori-e-allestimenti-disponibili-diesel-bianco-7cd0577e-99f3-4378-a34c-d0c6855e7d2d,Mercedes-Benz,A 180,D SPORT VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 29.900,17.200 km,Automatico,08/2024,Diesel,85 kW (116 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
A 180 d Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-diesel-bianco-3864a628-4308-4835-814c-6d88b6880136,Mercedes-Benz,A 180,A 180 d Sport,,€ 25.950,63.000 km,Automatico,03/2021,Diesel,85 kW (116 CV),Giulia Auto Grifone • IT-41126 Modena
"Mercedes-Benz
A 200
D VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-vari-colori-e-allestimenti-disponibili-diesel-nero-4f78c816-6336-40fc-9491-3e39c9617c07,Mercedes-Benz,A 200,D VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 32.500,19.100 km,Automatico,08/2024,Diesel,110 kW (150 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-bianco-d207e925-db2b-40a9-bbc9-a6f282d8d9c9,Mercedes-Benz,A 180,d Automatic Advanced,,€ 30.900,10 km,Automatico,01/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
- A 180 d Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-premium-auto-diesel-bianco-f8d75bea-e048-4f33-b410-bf220e4d2ecf,Mercedes-Benz,A 180,- A 180 d Premium auto,,€ 26.930,62.412 km,Automatico,05/2021,Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 200
BENZINA PREMIUM AMG AUTOMATICA",https://www.autoscout24.it/annunci/mercedes-benz-a-200-benzina-premium-amg-automatica-benzina-bianco-ca5208fe-679a-4109-9212-42d7cb504b35,Mercedes-Benz,A 200,BENZINA PREMIUM AMG AUTOMATICA,,€ 35.900,11.000 km,Automatico,06/2023,Benzina,120 kW (163 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
d Progressive Advanced AUT. KM. 0 PRONTA CONSEGNA",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-aut-km-0-pronta-consegna-diesel-grigio-d1b9db4d-4396-4568-8ba8-565d343a0435,Mercedes-Benz,A 180,d Progressive Advanced AUT.  KM. 0 PRONTA CONSEGNA,,€ 33.900,10 km,Automatico,09/2023,Diesel,85 kW (116 CV),Simone - Antonino - Alessandro • IT-41121 Modena - Mo
"Mercedes-Benz
A 180
d Automatic Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-argento-4b59d414-b242-481f-839d-ee02c1a7bcc8,Mercedes-Benz,A 180,d Automatic Progressive Advanced,,€ 32.900,10 km,Automatico,01/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-premium-auto-diesel-nero-06e18250-e623-4e87-bfda-569bff8627ac,Mercedes-Benz,A 180,A 180 d Premium auto,,€ 28.900,29.236 km,Automatico,01/2023,Diesel,85 kW (116 CV),Domenico Giaquinta • IT-43126 Parma - Pr
"Mercedes-Benz
A 180
d Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-plus-auto-diesel-nero-1ca39002-0466-4332-aaa2-8aad334b8e1f,Mercedes-Benz,A 180,d Progressive Advanced Plus auto,,€ 29.900,18.500 km,Automatico,01/2024,Diesel,85 kW (116 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
- A 180 d AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-amg-line-advanced-plus-auto-diesel-bianco-463529a9-3d4d-47b2-afeb-304666a9eb1e,Mercedes-Benz,A 180,- A 180 d AMG Line Advanced Plus auto,,€ 34.700,27.763 km,Automatico,09/2023,Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
Classe A A 180 Automatic Business Extra",https://www.autoscout24.it/annunci/mercedes-benz-a-180-classe-a-a-180-automatic-business-extra-benzina-grigio-105be051-2f42-4464-9b62-7e4ec18da8da,Mercedes-Benz,A 180,Classe A A 180 Automatic Business Extra,,€ 21.400,57.472 km,Automatico,05/2019,Benzina,100 kW (136 CV),Federico Novaria • IT-37060 Mozzecane - Verona
"Mercedes-Benz
A 250
A 250 e Automatic Plug-in hybrid Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-automatic-plug-in-hybrid-sport-elettrica-benzina-argento-d21effe2-e82a-458b-9a33-6c42fbd08997,Mercedes-Benz,A 250,A 250 e Automatic Plug-in hybrid Sport,,€ 28.400,54.669 km,Automatico,05/2022,Elettrica/Benzina,160 kW (218 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-argento-b3614ccf-fd9e-4901-b946-c42c93acaefa,Mercedes-Benz,A 180,d Automatic Advanced,,€ 34.900,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-bianco-842ee6cb-21de-4d55-bdce-064dcca9d117,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,€ 36.400,,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 250
e Automatic EQ-Power Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-eq-power-premium-elettrica-benzina-nero-8a37c00f-7ad7-463c-8c2c-58ac9ebe822c,Mercedes-Benz,A 250,e Automatic EQ-Power Premium,,€ 27.400,54.312 km,Automatico,01/2021,Elettrica/Benzina,118 kW (160 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-amg-line-advanced-plus-auto-elettrica-benzina-bianco-9da6d906-2e46-4cab-b0de-c0aa552fb5d3,Mercedes-Benz,A 180,A 180 AMG Line Advanced Plus auto,,,,,,,,Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 200
A 200 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-sport-automatic-diesel-blu-azzurro-c756a72d-8818-4c1c-9808-4d94e833b3bc,Mercedes-Benz,A 200,A 200 d Sport  Automatic,,€ 29.799,12.748 km,Automatico,03/2022,Diesel,110 kW (150 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 200
Automatic AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-amg-line-elettrica-benzina-nero-fed28a69-0990-41fd-af08-5a3927390e02,Mercedes-Benz,A 200,Automatic AMG Line,,€ 35.400,21.000 km,Automatico,03/2024,Elettrica/Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
180 Sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-sport-auto-benzina-grigio-8eb17b58-1c33-48f8-93c4-9138d71fd3b9,Mercedes-Benz,A 180,180 Sport auto,,€ 24.400,40.128 km,Automatico,01/2021,Benzina,100 kW (136 CV),Responsabile Usato • IT-50127 Firenze
"Mercedes-Benz
A 180
A 180 d Executive Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-executive-automatic-diesel-bianco-a31c55da-67ef-4738-ad32-3d7ca8c8c4f5,Mercedes-Benz,A 180,A 180 d Executive Automatic,,€ 21.399,56.243 km,Automatico,09/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-benzina-nero-82a36608-ea84-418b-bb78-606cdfc64269,Mercedes-Benz,A 180,Automatic,,€ 30.292,- km,Automatico,- (Anno),Benzina,100 kW (136 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
"Mercedes-Benz
A 180
Automatic AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-amg-line-benzina-grigio-df3f2e10-0b7a-400f-8ba4-7b05d2a91ee9,Mercedes-Benz,A 180,Automatic AMG Line,,€ 31.900,40.000 km,Automatico,10/2020,Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-diesel-bianco-5804f3a5-6710-4c0a-a12f-c21f5a0ee150,Mercedes-Benz,A 180,A 180 d Automatic Advanced,,€ 31.950,12.500 km,Automatico,02/2023,Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-benzina-nero-9ef89154-e519-4f13-81f7-ea731a19e11f,Mercedes-Benz,A 180,Automatic,,€ 31.900,- km,Automatico,- (Anno),Benzina,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-auto-diesel-89a0f457-0de4-4f85-a3fa-7bac8fbde4e2,Mercedes-Benz,A 180,d Premium auto,,€ 25.300,60.285 km,Automatico,08/2019,Diesel,85 kW (116 CV),Concessionaria Ufficiale BMW MINI Maserati • IT-35131 Padova - Pd
"Mercedes-Benz
A 200
MHV SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-200-mhv-sport-automatic-elettrica-benzina-nero-66e8aea4-0d05-40b8-b743-92cbe76c3625,Mercedes-Benz,A 200,MHV SPORT AUTOMATIC,,€ 25.900,12.378 km,Automatico,02/2023,Elettrica/Benzina,120 kW (163 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-executive-diesel-argento-707d9df1-a6e8-4270-80e1-80ca2caa49e0,Mercedes-Benz,A 180,d Automatic Executive,,€ 26.950,27.800 km,Automatico,04/2022,Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-diesel-grigio-8d67a4c6-15fe-44d4-97f0-e187ee8bd484,Mercedes-Benz,A 180,d Automatic AMG Line Advanced,€ 36.400,,10 km,Automatico,01/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-diesel-grigio-a1dc237c-06db-48a6-b38d-d1df00534fdb,Mercedes-Benz,A 180,A 180 d Automatic Advanced,,€ 31.950,10.999 km,Automatico,12/2023,Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
d Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-progressive-advanced-plus-auto-diesel-nero-ed3a8499-89b0-4f6f-9fa9-24b3f8f7a3a0,Mercedes-Benz,A 200,d Progressive Advanced Plus auto,,€ 32.500,18.000 km,Automatico,03/2024,Diesel,110 kW (150 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
A 180 136 CV NIGHT EDITION KM 43.170 CERTIF , GAR",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-136-cv-night-edition-km-43-170-certif-gar-benzina-bianco-b7b5f235-eb7e-45bf-abe0-040f9d537948,Mercedes-Benz,A 180,"A 180 136 CV NIGHT EDITION KM 43.170 CERTIF , GAR",,€ 25.950,43.171 km,Manuale,04/2019,Benzina,100 kW (136 CV),Fabio . • IT-41122 Modena - Mo
"Mercedes-Benz
A 180
d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-bianco-b0843f0a-f89a-4608-b1a1-dc6ee31e65f2,Mercedes-Benz,A 180,d Automatic Advanced,,€ 31.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-diesel-nero-d850228b-c5c9-4773-b047-ca806fbaea6b,Mercedes-Benz,A 180,A 180 d Automatic Advanced,,€ 31.950,22.800 km,Automatico,01/2024,Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
AMG PREMIUM PAK LUCI LED NIGHT FULL",https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-led-night-full-benzina-bianco-140db34d-ac37-4621-828a-71d69d89b3bb,Mercedes-Benz,A 250,AMG PREMIUM PAK LUCI LED NIGHT FULL,,€ 34.900,21.500 km,Automatico,11/2022,Benzina,165 kW (224 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250e-premium-automatic-phev-elettrica-benzina-nero-4faf7260-858d-4072-95de-fab69601ee30,Mercedes-Benz,A 250,A 250e Premium  Automatic  PHEV,,,,,,,,Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 200
A 200 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-advanced-diesel-nero-592d561e-1f64-498c-93ac-1ba2661c18a6,Mercedes-Benz,A 200,A 200 d Automatic Advanced,,€ 34.950,14.900 km,Automatico,05/2023,Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 35 AMG
A AMG 35 Race Edition 4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-race-edition-4matic-auto-benzina-grigio-9ad5d719-148f-49f8-bdaa-1e05b2637f46,Mercedes-Benz,A 35 AMG,A AMG 35 Race Edition 4matic auto,€ 43.500,,58.000 km,Automatico,07/2022,Benzina,225 kW (306 CV),Mario Fiore • IT-51039 Quarrata - Pistoia
"Mercedes-Benz
A 180
A 180 d Executive Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-executive-automatic-diesel-nero-2c4c4090-74da-494c-a179-464d8f177dd2,Mercedes-Benz,A 180,A 180 d Executive Automatic,,€ 21.799,56.836 km,Automatico,06/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
