Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Mercedes-Benz A 35 AMG A 35 AMG 4Matic,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-giallo-b887cda2-d051-495f-b077-208c6121990c,34699,6,2019,28970,automatico,Benzina,150,AMG,Performance,A 35,Rivenditore,86,verona,37135,Veneto,Nord-est
Mercedes-Benz A 180 180 d sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-bianco-5c5987ea-df93-4be7-b5b6-8e39df66c4fb,26800,4,2021,42411,automatico,Diesel,150,Sport,Middle,A 180,Rivenditore,92,brendola,36040,Veneto,Nord-est
Mercedes-Benz A 200 d AMG Line Advanced Plus auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-grigio-e782fc33-d471-4090-8634-f0e6e001cbc8,35900,1,2024,20600,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,87,fidenza,43036,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d PREMIUM AMG SEDAN AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-sedan-automatic-diesel-bianco-0b785c4c-0cd3-4b95-bc71-f9e99506bbb8,34900,2,2023,8775,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 d SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-sport-automatic-diesel-bianco-51e87901-7804-493e-bd36-de57fedf9a6c,29900,2,2023,13572,automatico,Diesel,150,Sport,Middle,A 180 d,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 250 MHV 4MATIC PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-250-mhv-4matic-premium-amg-automatic-elettrica-benzina-bianco-e459eb7b-b73b-4b34-8cfd-184d38fbb197,38900,1,2024,11539,automatico,Ibrido,150,AMG line,Sport,A 250,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 180 d sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-blu-azzurro-3b6109c9-eb20-4850-b1da-fd9a0c0d804c,27900,3,2022,37610,automatico,Diesel,150,Sport,Middle,A 180,Rivenditore,92,brendola,36040,Veneto,Nord-est
Mercedes-Benz A 200 200 d amg line premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-premium-auto-diesel-bianco-692bca89-e77f-412f-b1ca-ad52ced13fbd,38500,2,2023,19327,automatico,Diesel,150,AMG line,Sport,A 200,Rivenditore,92,brendola,36040,Veneto,Nord-est
Mercedes-Benz A 180 180d Business Extra aut. 1.5 Diesel 116CV,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-business-extra-aut-1-5-diesel-116cv-diesel-argento-60bd50ea-ddbe-4f17-88fa-3cdbc2a6ed0b,21990,5,2020,63559,automatico,Diesel,150,Business,Base,A 180,Rivenditore,40,reggio emilia,42122,Emilia-Romagna,Nord-est
Mercedes-Benz A 200 d AMG Line Advanced Plus auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-argento-6ed0f048-7eca-4695-968f-b968f9d5f84c,33850,2,2023,18030,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,65,parma,43122,Emilia-Romagna,Nord-est
Mercedes-Benz A 200 IBRIDA - Automatic AMG Line Advanced Plus MILD HYB,https://www.autoscout24.it/annunci/mercedes-benz-a-200-ibrida-automatic-amg-line-advanced-plus-mild-hyb-elettrica-benzina-grigio-abb22d19-89f0-4997-a127-ebd256dfa586,37500,2,2023,10,automatico,Ibrido,150,AMG line,Sport,A 200,Rivenditore,99,piove sacco,35028,Veneto,Nord-est
Mercedes-Benz A 180 d PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-bianco-9eae3385-c672-49eb-b9ff-c50cb3622997,33300,1,2024,22082,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 A 180 d Sport Automatic,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-624c50d6-f7c2-4cae-b0fa-1ab4e9aaa5d0,22799,5,2020,46627,automatico,Diesel,150,Sport,Middle,A 180 d,Rivenditore,86,verona,37135,Veneto,Nord-est
Mercedes-Benz A 200 A 200 d Automatic AMG Line Premium Plus,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-premium-plus-diesel-bianco-a6f5da7d-418a-4440-afa5-8c9fa7b8e6dc,38900,1,2024,16339,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,86,verona,37135,Veneto,Nord-est
Mercedes-Benz A 180 MHV PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-bianco-442dd826-fa42-48c3-b9ad-200dd71da3b7,31700,1,2024,14728,automatico,Ibrido,150,AMG line,Sport,A 180,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 MHV PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-nero-dbba7316-1e41-41e0-bf7b-1b0e32aabb6e,31900,1,2024,23818,automatico,Ibrido,150,AMG line,Sport,A 180,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 180 Business auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-business-auto-benzina-nero-c1a8465b-ff31-43cb-a753-29fb5d5da9cf,25000,4,2021,52600,automatico,Benzina,150,Business,Base,A 180,Rivenditore,57,imola,40026,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-nero-a0852d34-23cd-42cd-8653-694bc7797a98,28900,2,2023,13781,automatico,Ibrido,150,Sport,Middle,A 180,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 A 180 d Automatic Sport,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-sport-diesel-grigio-1dcd1beb-6b38-40ea-b9fe-947f27d8aee5,23900,5,2020,69000,automatico,Diesel,150,Sport,Middle,A 180 d,Rivenditore,87,prato,59100,Toscana,Centro
Mercedes-Benz A 200 d Automatic AMG Line Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-amg-line-premium-diesel-bianco-99d1e510-867f-4ab1-bf58-e5edb470f450,36500,2,2023,11989,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,68,rovigo,45100,Veneto,Nord-est
Mercedes-Benz A 180 A 180 d Sport Night Edition,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-night-edition-diesel-nero-11127abf-cecf-49f6-ae9e-f8b943e5df5d,24900,3,2022,61001,automatico,Diesel,150,Sport,Middle,A 180 d,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 A 180 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-premium-diesel-grigio-a74ba801-e5a0-4dc4-9748-31bd4105c87a,27400,4,2021,46312,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 AMG PREMIUM LED NIGHT VARI COLORI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-premium-led-night-vari-colori-benzina-grigio-c15eb4ba-0790-45d0-be89-a553460f06dd,28800,3,2022,23400,automatico,Benzina,150,AMG line,Sport,A 180,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 180 Premium AMG VARI COLORI E ALLESTIMENTI DISPONIBILI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-amg-vari-colori-e-allestimenti-disponibili-benzina-bianco-279e09b8-8955-4575-a8f9-bd819d14d05b,29900,1,2024,15500,automatico,Benzina,150,AMG line,Sport,A 180,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 180 PREMIUM AMG PACK LUCI VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-amg-pack-luci-vari-colori-e-allestimenti-benzina-nero-4e25643a-25da-4c84-9090-5da53d619afb,30500,2,2023,19000,automatico,Benzina,150,AMG line,Sport,A 180,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 35 AMG A AMG 35 Race Edition 4matic auto sedan,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-race-edition-4matic-auto-sedan-benzina-grigio-ccee5053-c272-4efd-a247-711016f1a8f4,39850,6,2019,42000,automatico,Benzina,150,AMG,Performance,A 35,Rivenditore,31,sasso marconi,40037,Emilia-Romagna,Nord-est
Mercedes-Benz A 220 AMG VARI COLORI DISPONIBILI E ALLESTIMENTI DISP.,https://www.autoscout24.it/annunci/mercedes-benz-a-220-amg-vari-colori-disponibili-e-allestimenti-disp-benzina-bianco-f626cb88-9d63-40b6-9525-c7734490a7c5,32900,3,2022,19700,automatico,Benzina,150,AMG,Performance,A 220,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI VARI COLORI,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-vari-colori-benzina-nero-f1f8b469-c8ea-40c5-9998-bf7e42d3ebe1,34900,2,2023,18000,automatico,Benzina,150,AMG line,Sport,A 250,Rivenditore,77,arcole,37040,Veneto,Nord-est
