Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
21399,5,56243,1,150,1,25,1,0,0,0,0,0,0,0
31900,5,40000,1,150,1,20,0,0,1,0,0,0,0,0
31950,2,12500,1,150,1,14,1,0,0,0,1,0,0,0
25300,6,60285,1,150,1,101,1,0,1,0,0,0,0,0
25900,2,12378,1,150,1,97,0,1,0,0,1,0,0,0
26950,3,27800,1,150,1,14,1,0,0,0,0,0,0,0
36400,0,10,1,150,1,25,1,0,1,0,0,0,0,0
31950,2,10999,1,150,1,14,1,0,0,0,1,0,0,0
32500,1,18000,1,150,1,100,1,0,0,0,1,0,1,0
31900,0,10,1,150,1,25,1,0,0,0,1,0,0,0
31950,1,22800,1,150,1,14,1,0,0,0,1,0,0,0
34900,3,21500,1,150,1,77,0,0,1,0,0,0,0,0
34950,2,14900,1,150,1,14,1,0,0,0,1,0,0,0
43500,3,58000,1,150,1,91,0,0,0,1,0,0,1,0
21799,5,56836,1,150,1,25,1,0,0,0,0,0,0,0
42900,3,42673,1,150,1,86,0,0,0,1,0,0,0,0
32500,1,25159,1,150,1,92,0,1,1,0,0,0,0,0
28900,1,17900,1,150,1,77,0,0,0,0,1,0,0,0
33900,2,10,1,150,1,25,0,1,1,0,0,0,0,0
26599,5,14410,1,150,1,25,0,0,0,0,1,0,0,0
33499,3,69542,1,150,1,86,0,0,0,1,0,0,0,0
32900,1,10,1,150,1,25,1,0,0,0,1,0,0,0
34900,0,1,1,150,1,59,1,0,0,0,0,0,0,0
36400,0,10,1,150,1,25,1,0,1,0,0,0,0,0
37350,2,35100,1,150,1,38,0,0,0,1,0,0,0,0
34900,1,17205,1,150,1,25,1,0,1,0,0,0,0,0
29200,4,59900,0,150,1,20,0,0,1,0,0,0,0,0
30900,2,29628,1,150,1,86,1,0,0,0,1,0,0,0
32900,1,18000,1,150,1,100,0,1,0,0,1,0,1,0
39900,3,52000,1,150,1,40,0,0,0,1,0,0,0,0
24500,5,38700,1,150,1,25,1,0,0,0,0,0,0,0
29900,1,21138,1,150,1,97,0,1,0,0,1,0,0,0
28430,4,46097,1,150,1,104,0,1,1,0,0,0,1,0
24930,4,49135,1,150,1,104,0,1,0,0,0,0,1,0
32900,3,49111,1,150,1,23,0,1,1,0,0,0,0,0
20399,6,67766,1,150,1,25,1,0,0,0,0,0,0,0
34800,1,6500,1,150,1,68,1,0,1,0,0,0,0,0
21599,6,32360,1,150,1,86,1,0,0,0,0,0,0,0
34300,3,21400,1,150,1,20,0,0,0,1,0,0,0,0
32900,2,5973,1,150,1,25,1,0,1,0,0,0,0,0
30800,3,56757,1,150,1,92,1,0,1,0,0,0,0,0
33890,2,11665,1,150,1,99,0,0,0,0,1,0,1,0
29900,1,16300,1,150,1,100,0,0,0,0,1,0,1,0
27930,4,54088,1,150,1,104,0,1,1,0,0,0,1,0
23700,6,26700,0,150,1,100,0,0,0,0,1,0,1,0
32000,1,19200,1,150,1,100,0,0,1,0,0,0,1,0
23900,4,58477,0,150,1,57,1,0,0,0,1,0,0,0
23900,4,58477,0,150,1,106,1,0,0,0,1,0,0,0
34900,0,10,1,150,1,25,1,0,1,0,0,0,0,0
25399,6,32167,1,150,1,86,1,0,1,0,0,0,0,0
37499,1,9351,1,150,1,25,1,0,1,0,0,0,0,0
35000,1,15900,1,150,1,77,1,0,0,1,0,0,0,0
21599,6,32360,1,150,1,25,1,0,0,0,0,0,0,0
24299,5,56836,1,150,1,86,1,0,0,0,0,0,0,0
29900,1,16900,1,150,1,100,1,0,0,0,1,0,1,0
31900,4,51212,1,150,1,99,0,1,0,0,0,0,1,0
20399,6,67766,1,150,1,86,1,0,0,0,0,0,0,0
28500,2,44938,1,150,1,86,1,0,0,0,1,0,0,0
25099,5,46627,1,150,1,25,1,0,0,0,1,0,0,0
26900,4,50800,1,150,1,25,0,0,0,0,1,0,0,0
35800,1,10,1,150,1,25,0,1,1,0,0,0,0,0
27599,3,38672,1,150,1,25,1,0,0,0,1,0,0,0
21399,5,56243,1,150,1,86,1,0,0,0,0,0,0,0
