Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_GPL vs Benzina,is_Ibrido vs Benzina,is_Elettrico vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
9500,4,81000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9850,4,82000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,94000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,95000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,102000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,93000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9900,3,77000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9950,2,70711,0,102,1,276,0,0,0,0,0,0,0,1,0,0
11500,2,40000,0,102,1,344,0,0,0,0,0,0,1,0,1,0
10900,3,47411,0,102,1,750,0,0,0,0,0,0,0,0,0,1
11890,4,73000,0,102,1,412,0,0,0,0,0,0,0,0,1,0
10499,3,43500,0,102,1,95,0,0,0,0,0,0,0,0,0,0
10547,3,54763,0,102,1,177,1,0,0,0,0,0,0,1,0,0
10999,3,43000,0,102,1,579,0,0,0,0,0,0,0,0,0,1
10747,3,54763,0,102,1,672,1,0,0,0,0,0,0,0,0,1
10490,3,18341,0,102,1,40,0,0,0,0,0,0,0,0,0,0
10990,3,30000,0,102,1,276,0,0,0,0,0,0,0,1,0,0
10800,4,45642,0,102,1,202,0,0,0,0,0,0,1,1,0,0
10950,2,79038,0,102,1,276,0,0,0,0,0,0,1,1,0,0
11000,3,32000,0,102,0,170,0,0,0,0,0,0,1,1,0,0
10500,3,60000,0,102,0,216,0,0,0,0,0,0,1,1,0,0
10999,5,28000,0,102,1,87,0,0,0,0,0,0,1,0,1,0
10990,2,45000,0,102,1,176,0,0,0,0,1,0,0,1,0,0
10900,5,2750,0,102,1,326,0,0,0,0,0,0,0,0,1,0
10800,2,16566,0,102,1,484,0,0,0,0,0,0,0,0,0,1
10600,5,9587,0,102,0,127,0,0,0,0,0,0,1,0,0,0
11000,4,77000,0,102,0,184,0,0,0,0,0,0,1,1,0,0
10500,4,23000,0,102,0,473,0,0,0,0,0,0,1,0,0,1
10990,2,55000,0,102,1,176,0,0,0,0,1,0,0,1,0,0
10500,2,49980,0,102,1,275,0,0,0,0,0,0,0,1,0,0
10500,4,53000,0,102,0,210,0,0,0,0,0,0,1,1,0,0
10950,2,34745,0,102,1,286,0,0,0,0,0,0,0,1,0,0
10500,5,56258,0,102,0,629,0,0,0,0,0,0,1,0,0,1
11000,4,69000,0,102,0,106,0,0,0,0,0,0,0,0,0,0
10980,5,50150,0,102,0,178,0,0,0,0,0,0,1,1,0,0
10500,5,55000,0,102,0,262,1,0,0,0,0,0,0,1,0,0
10490,5,51243,0,102,0,490,0,0,0,0,1,0,0,0,0,1
10990,4,63787,0,102,1,490,0,0,0,0,0,0,1,0,0,1
10999,4,105000,0,102,0,852,1,0,0,0,1,0,0,0,0,1
10900,5,30000,0,102,1,698,0,0,0,0,0,0,0,0,0,1
10990,3,31000,0,102,1,495,0,1,0,0,0,0,1,0,0,1
10500,5,43000,0,102,0,495,0,0,0,0,1,0,0,0,0,1
10980,4,35000,0,102,1,326,0,0,0,0,0,0,1,0,1,0
11000,5,130000,0,102,0,542,1,0,0,0,1,0,0,0,0,1
10900,3,72000,0,102,1,191,0,0,0,0,0,0,1,1,0,0
10699,5,43000,0,102,0,344,0,0,0,0,0,0,1,0,1,0
11000,5,56000,0,102,0,476,0,0,0,0,0,0,0,0,0,1
10350,3,70000,0,102,1,326,0,0,0,0,0,0,0,0,1,0
10190,3,33495,0,102,1,271,0,0,0,0,0,0,0,1,0,0
10950,5,52000,0,102,1,358,0,0,0,0,0,0,0,0,1,0
10990,2,48000,0,102,1,176,0,0,0,0,0,0,1,1,0,0
10900,3,59000,0,102,1,683,0,0,0,0,0,0,0,0,0,1
10499,4,72200,0,102,0,854,0,0,0,0,0,0,1,0,0,1
10590,5,65000,0,102,0,201,0,0,0,0,0,0,1,1,0,0
10500,4,123042,0,102,1,121,1,0,0,0,0,0,0,0,0,0
10990,4,45000,0,102,1,498,0,0,0,0,0,0,1,0,0,1
10950,4,64455,0,102,1,201,0,0,0,0,0,0,0,0,0,0
10990,3,68950,0,102,1,552,0,0,0,0,0,0,1,0,0,1
10900,4,73320,0,102,1,84,0,0,0,0,0,0,1,0,1,0
11000,4,78000,0,102,0,50,0,0,0,0,0,0,1,0,0,0
10900,5,44715,0,102,1,276,0,0,0,0,0,0,1,1,0,0
10900,4,69839,0,102,1,611,0,0,0,0,0,0,0,0,0,1
10900,5,70000,0,102,1,344,0,0,0,0,0,0,1,0,1,0
11000,4,120000,0,102,1,448,1,0,0,0,0,0,0,0,0,1
10400,5,117000,0,102,0,156,0,0,0,0,1,0,0,0,0,0
10500,4,120000,0,102,0,122,0,0,0,0,0,0,1,1,0,0
10499,5,146000,0,102,1,483,1,0,0,0,1,0,0,0,0,1
10500,4,99745,0,102,1,40,0,0,0,0,0,0,1,1,0,0
11000,5,85000,0,102,0,310,0,0,0,0,1,0,0,1,0,0
10500,4,101009,0,102,1,40,0,0,0,0,0,0,1,1,0,0
10999,5,28000,0,102,1,495,0,0,0,0,0,0,0,0,0,1
10500,4,112795,0,102,1,201,0,0,0,0,0,0,0,1,0,0
10800,3,78199,0,102,1,192,0,0,0,0,0,0,1,1,0,0
10800,3,76642,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10100,4,105000,0,102,1,415,0,0,0,0,1,0,0,0,1,0
11000,4,56000,0,102,0,62,0,0,0,0,0,0,0,1,0,0
10800,3,77187,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10950,3,60205,0,102,1,341,0,0,0,0,0,0,1,0,1,0
10990,3,75500,0,102,1,552,0,0,0,0,0,0,0,0,0,1
10800,3,77187,0,102,1,192,0,0,0,0,0,0,1,1,0,0
10800,3,80000,0,102,1,165,0,0,0,0,0,0,1,1,0,0
10800,5,70000,0,102,1,560,0,0,0,0,0,0,0,0,0,1
10990,4,79000,0,102,1,200,0,0,0,0,0,0,1,0,1,0
10800,3,75000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10999,5,159541,0,102,1,792,1,0,0,0,0,0,1,0,0,1
10800,3,60349,0,102,1,520,0,0,0,0,0,0,0,0,0,1
10990,5,101000,0,102,1,101,0,1,0,0,0,0,0,0,0,0
10990,5,101000,0,102,1,204,0,1,0,0,0,0,0,0,0,0
10990,3,64388,0,102,1,276,0,0,0,0,0,0,0,1,0,0
10800,4,93988,0,102,1,86,0,0,0,0,0,0,1,0,0,0
10500,4,95500,0,102,1,87,0,0,0,0,0,0,1,0,1,0
10600,3,60000,0,102,1,178,0,0,0,0,0,0,0,1,0,0
10700,4,92000,0,102,1,245,0,0,0,0,0,0,1,1,0,0
10990,4,70000,0,102,1,56,0,0,0,0,0,0,0,1,0,0
10600,4,90600,0,102,1,286,0,0,0,0,0,0,0,1,0,0
10900,4,98695,0,102,1,448,0,0,0,0,0,0,1,0,0,1
10900,4,169000,0,102,1,157,1,0,0,0,0,0,1,1,0,0
10990,4,85131,0,102,1,560,0,0,0,0,0,0,0,0,0,1
10500,4,99700,0,102,1,14,0,0,0,0,0,0,0,0,0,0
10300,3,82000,0,102,1,638,0,0,0,0,0,0,1,0,0,1
10490,3,75000,0,102,1,552,0,0,0,0,0,0,0,0,0,1
10500,4,104463,0,102,1,40,0,0,0,0,0,0,1,1,0,0
10900,4,74000,0,102,1,480,0,0,0,0,0,0,1,0,0,1
10900,4,93054,0,102,1,322,0,0,0,0,0,0,0,0,1,0
10900,3,62000,0,102,1,215,0,0,0,0,0,0,0,0,0,0
10900,3,65000,0,102,1,215,0,0,0,0,0,0,0,0,0,0
10500,4,99000,0,102,1,132,0,0,0,0,0,0,1,0,0,0
10900,4,78100,0,102,1,84,0,0,0,0,0,0,1,0,1,0
10700,3,82000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10400,5,105000,0,102,1,339,0,0,0,0,0,0,1,0,1,0
10900,4,88357,0,102,1,99,0,0,0,0,0,0,1,0,1,0
10900,4,64000,0,102,0,881,0,0,0,0,0,0,1,0,0,1
10800,4,81025,0,102,1,106,0,0,0,0,0,0,1,0,1,0
10900,4,78000,0,102,1,91,0,0,0,0,0,0,1,0,1,0
10800,3,78199,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10300,4,98000,0,102,1,326,0,0,0,0,0,0,1,0,1,0
10900,4,65000,0,102,1,882,0,0,0,0,0,0,1,0,0,1
10499,4,100703,0,102,1,177,0,0,0,0,0,0,0,1,0,0
10800,3,74510,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10990,5,189807,0,102,1,843,1,0,0,0,0,0,0,0,0,1
10800,3,80647,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10800,3,72000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10800,3,76312,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10800,3,81400,0,102,1,31,0,0,0,0,0,0,1,0,0,0
10800,3,80000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
12740,2,30837,0,102,1,99,0,0,0,0,1,0,0,0,0,0
11500,5,37800,0,102,1,177,0,0,0,0,0,0,0,1,0,0
11900,5,66000,0,102,1,186,1,0,0,0,0,0,0,0,0,0
12000,3,29000,0,102,1,127,0,0,0,0,0,0,0,0,0,0
11400,3,18700,0,102,1,436,0,0,0,0,0,0,0,0,0,1
11747,3,55229,0,102,1,116,1,0,0,0,0,0,0,0,0,0
11490,3,46574,0,102,1,314,0,0,0,0,0,0,1,0,1,0
11800,3,31654,0,102,1,715,0,0,0,0,0,0,0,0,0,1
11900,4,40415,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11390,4,69250,0,102,1,131,0,0,0,0,0,0,1,0,0,0
11500,3,31051,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11900,3,50579,0,102,1,239,0,0,0,0,0,0,0,0,0,0
11750,2,40186,0,102,1,341,0,0,0,0,0,0,1,0,1,0
11900,2,123000,0,102,1,67,0,0,0,0,0,0,1,1,0,0
11980,0,12,0,102,1,83,0,0,0,0,1,0,0,0,1,0
11300,2,21283,0,102,1,91,0,0,0,0,0,0,1,1,0,0
12000,4,49000,0,102,1,253,0,0,0,0,1,0,0,1,0,0
11500,3,29100,0,102,1,166,0,0,0,0,0,0,1,1,0,0
11700,2,24000,0,102,1,291,0,0,0,0,0,0,1,0,1,0
11499,4,50000,0,102,1,490,1,0,0,0,1,0,0,0,0,1
11500,3,25620,0,102,1,202,0,0,0,0,0,0,0,1,0,0
11500,4,55000,0,102,1,326,1,0,0,0,1,0,0,0,1,0
12000,3,22000,0,102,0,131,0,1,0,0,0,0,0,0,1,0
11590,5,71000,0,102,0,87,1,0,0,0,0,0,1,0,0,0
11900,3,16400,0,102,1,107,0,0,0,0,0,0,1,0,0,0
11980,3,12000,0,102,1,326,0,0,0,0,0,0,1,0,1,0
12000,3,25000,1,102,1,187,0,0,0,0,0,0,0,1,0,0
12000,3,12300,0,102,0,177,0,0,0,0,0,0,0,1,0,0
11250,5,29232,0,102,1,177,0,0,0,0,0,0,1,1,0,0
11500,4,44700,0,102,0,326,0,0,0,0,0,0,0,0,1,0
11900,2,25525,0,102,0,211,0,0,0,0,0,0,0,0,1,0
12000,4,75000,1,102,0,611,0,0,0,0,1,0,0,0,0,1
11450,2,18444,0,102,1,326,0,0,0,0,0,0,1,0,1,0
11500,5,58500,1,102,0,116,0,0,0,0,1,0,0,0,0,0
11490,4,34320,0,102,1,175,0,0,0,0,0,0,1,1,0,0
11500,3,16640,0,102,1,638,0,0,0,0,0,0,0,0,0,1
11900,4,20298,0,102,1,197,0,0,0,0,0,0,1,0,1,0
11900,4,95100,0,102,1,275,1,0,0,0,1,0,0,1,0,0
11900,4,19377,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11700,4,37432,0,102,1,560,0,0,0,0,0,0,1,0,0,1
11500,4,49000,0,102,1,181,0,0,0,0,0,0,0,1,0,0
11890,3,44426,0,102,1,83,0,0,0,0,0,0,1,0,0,0
11300,5,84339,0,102,0,492,1,0,0,0,1,0,0,0,0,1
11900,5,103000,0,102,1,160,1,0,0,0,0,0,1,0,1,0
11400,3,42150,0,102,1,478,0,0,0,0,0,0,0,0,0,1
11990,4,59000,0,102,1,276,0,1,0,0,0,0,0,1,0,0
11100,4,77000,0,102,0,169,1,0,0,0,0,0,1,1,0,0
11600,4,49442,0,102,1,146,0,0,0,0,0,0,0,1,0,0
11500,5,68000,0,102,0,287,0,0,0,0,0,0,0,1,0,0
11900,4,47000,0,102,1,337,0,0,0,0,0,0,0,0,1,0
11400,3,48630,0,102,1,286,0,0,0,0,0,0,0,1,0,0
11990,4,21100,0,102,1,106,0,0,0,0,0,0,1,0,1,0
11400,4,36500,0,102,1,495,0,0,0,0,0,0,1,0,0,1
11900,4,40875,0,102,1,200,0,0,0,0,0,0,1,1,0,0
11750,2,53000,0,102,0,215,0,0,0,0,0,0,0,1,0,0
11500,3,49200,0,102,0,89,0,0,0,0,0,0,0,0,0,0
11300,5,69221,0,102,1,505,0,0,0,0,0,0,1,0,0,1
11900,4,35500,0,102,1,377,0,0,0,0,0,0,0,0,1,0
11500,5,62000,0,102,0,167,0,0,0,0,0,0,1,1,0,0
11900,3,58718,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11900,3,27369,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11990,4,22249,0,102,1,468,0,0,0,0,0,0,1,0,0,1
11300,5,73000,0,102,0,54,0,0,0,0,0,0,1,1,0,0
11747,3,55229,0,102,1,165,1,0,0,0,0,0,0,1,0,0
11747,3,55229,0,102,1,190,1,0,0,0,0,0,0,1,0,0
11900,5,44000,0,102,1,500,0,0,0,0,0,0,1,0,0,1
11499,4,28000,0,102,1,495,0,0,0,0,0,0,1,0,0,1
11900,3,58718,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11300,5,97000,0,102,1,326,0,1,0,0,0,0,0,0,1,0
11600,4,65400,0,102,1,245,0,0,0,0,0,0,0,1,0,0
11500,4,70411,0,102,1,111,0,0,0,0,0,0,0,0,1,0
12000,3,12300,0,102,0,177,0,0,0,0,0,0,0,1,0,0
11700,3,49800,0,102,1,216,0,0,0,0,0,0,0,1,0,0
11890,5,25773,0,102,1,175,0,0,0,0,0,0,1,1,0,0
11950,4,89400,0,102,1,560,0,0,0,0,0,0,1,0,0,1
12000,3,52000,0,102,0,99,0,0,0,0,0,0,1,0,1,0
11900,4,76723,0,102,1,490,0,0,0,0,0,0,1,0,0,1
11900,2,37123,0,102,1,651,0,0,0,0,0,0,0,0,0,1
11950,4,40100,0,102,1,87,0,0,0,0,0,0,1,0,1,0
11900,4,75000,0,102,0,153,1,0,0,0,0,0,1,1,0,0
11400,5,73000,0,102,1,74,0,0,0,0,0,0,1,0,0,0
11400,3,45515,0,102,1,127,0,0,0,0,0,0,0,0,0,0
11650,4,53284,0,102,1,177,0,0,0,0,0,0,0,1,0,0
11850,5,50714,0,102,1,106,0,0,0,0,0,0,1,0,1,0
11950,4,29848,0,102,1,177,0,0,0,0,0,0,1,1,0,0
12000,4,49700,0,102,1,77,0,0,0,0,0,0,1,0,0,0
11990,4,57484,0,102,1,94,0,0,0,0,0,0,1,1,0,0
11850,3,64605,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11900,3,59665,0,102,1,286,0,0,0,0,0,0,0,1,0,0
11800,5,90590,0,102,1,463,1,0,0,0,0,0,0,0,0,1
11900,5,121000,0,102,0,383,1,0,0,0,1,0,0,0,1,0
12000,3,76500,0,102,0,326,0,0,0,0,0,0,0,0,1,0
11900,4,56151,0,102,1,724,0,0,0,0,0,0,0,0,0,1
11455,5,49200,0,102,1,166,0,0,0,0,0,0,0,1,0,0
11650,4,53284,0,102,1,174,0,0,0,0,0,0,0,1,0,0
11850,3,63607,0,102,1,495,0,0,0,0,0,0,0,0,0,1
11900,4,39000,0,102,1,177,0,0,0,0,0,0,0,1,0,0
11900,5,48291,0,102,1,198,0,0,0,0,0,0,0,1,0,0
11990,2,39000,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11990,4,74000,0,102,1,362,0,0,0,0,0,0,1,0,1,0
11900,3,123000,0,102,1,112,1,0,0,0,0,0,0,0,0,0
11400,4,23890,0,102,0,473,0,0,0,0,0,0,1,0,0,1
12000,4,32000,0,102,0,492,0,0,0,0,0,0,1,0,0,1
11800,4,19800,0,102,1,505,0,0,0,0,0,0,0,0,0,1
11850,3,64605,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11900,3,55857,0,102,1,168,0,0,0,0,0,0,0,1,0,0
11900,4,60657,0,102,1,140,0,0,0,0,0,0,1,0,0,0
11800,4,142000,0,102,0,239,1,0,0,0,1,0,0,0,1,0
11900,4,54562,0,102,1,757,0,0,0,0,0,0,1,0,0,1
11190,4,79070,0,102,1,310,0,0,0,0,0,0,1,0,1,0
11500,3,77360,0,102,1,30,0,0,0,0,0,0,0,0,0,0
11490,4,118000,0,102,1,81,1,0,0,0,0,0,1,0,0,0
11400,3,56000,0,102,1,215,0,0,0,0,0,0,0,0,0,0
11900,3,53400,0,102,1,200,0,0,0,0,0,0,0,1,0,0
12000,4,90000,0,102,1,844,0,0,0,0,0,0,0,0,0,1
11650,4,53284,0,102,1,177,0,0,0,0,0,0,0,1,0,0
11500,4,62000,0,102,0,89,0,0,0,0,0,0,0,0,0,0
11999,4,53577,0,102,0,147,0,0,0,0,0,0,1,1,0,0
11900,4,65200,0,102,1,200,0,0,0,0,0,0,1,1,0,0
11900,3,41926,0,102,1,194,0,0,0,0,0,0,0,1,0,0
11500,4,65000,0,102,1,128,0,0,0,0,0,0,1,0,1,0
11900,4,48000,0,102,1,326,0,0,0,0,0,0,0,0,1,0
11900,4,72400,0,102,1,363,0,0,0,0,0,0,1,0,1,0
11900,5,39815,0,102,1,222,0,0,0,0,0,0,0,1,0,0
11300,4,53600,0,102,0,377,0,0,0,0,0,0,0,0,1,0
11200,5,81000,0,102,1,337,0,1,0,0,0,0,0,0,1,0
11490,4,99000,0,102,1,607,0,0,0,0,0,0,1,0,0,1
11200,5,70000,0,102,0,588,0,0,0,0,0,0,0,0,0,1
11950,3,35197,0,102,1,326,0,0,0,0,0,0,1,0,1,0
11550,4,109842,1,102,1,160,0,0,0,0,0,0,1,1,0,0
11990,2,55675,0,102,1,359,0,0,0,0,0,0,0,0,1,0
11900,3,67900,0,102,1,99,0,0,0,0,0,0,1,0,1,0
11900,4,105000,0,102,1,200,1,0,0,0,0,0,0,1,0,0
11550,4,70000,0,102,1,16,0,0,0,0,0,0,0,0,0,0
12000,4,50000,0,102,0,292,0,0,0,0,0,0,0,1,0,0
11500,5,53800,0,102,1,383,0,0,0,0,0,0,0,0,1,0
11900,3,50997,0,102,1,155,0,0,0,0,0,0,0,0,0,0
11950,4,29848,0,102,1,177,0,0,0,0,0,0,1,1,0,0
11400,4,79000,0,102,0,486,0,0,0,0,0,0,1,0,0,1
11900,4,89239,0,102,1,788,0,0,0,0,1,0,0,0,0,1
11300,4,72074,0,102,1,712,0,0,0,0,0,0,0,0,0,1
11900,3,64263,0,102,1,127,0,0,0,0,0,0,0,0,0,0
12000,3,62640,0,102,1,750,0,0,0,0,0,0,0,0,0,1
12000,4,67000,0,102,0,91,0,0,0,0,0,0,1,1,0,0
11999,4,73000,0,102,1,499,0,0,0,0,0,0,1,0,0,1
11950,4,29848,0,102,1,174,0,0,0,0,0,0,1,1,0,0
11500,4,77290,0,102,0,326,0,0,0,0,0,0,1,0,1,0
11300,4,56800,0,102,1,852,0,0,0,0,0,0,0,0,0,1
11499,5,116986,0,102,1,177,1,0,0,0,0,0,1,1,0,0
12000,4,110000,0,102,0,448,0,0,0,0,0,0,0,0,0,1
11390,4,83000,0,102,1,137,0,0,0,0,0,0,0,0,0,0
11500,5,130000,0,102,1,91,1,0,0,0,1,0,0,0,1,0
11500,4,79176,0,102,1,490,0,0,0,0,0,0,0,0,0,1
